t_s,t_ms,deltaE_nJ,Wbase_nJ,Wbias_nJ,Dfilm_nJ,Dwall_nJ,ER_pJ,residual_aJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0e-5,0.05,3.2311742677852644e-18,3.6965480254244773e-22,3.539294818361747e-28,-1.0480509073990235e-23,-3.884660310536389e-41,4.1992230379301e-33,3.2307941321197187e-9
0.0001,0.1,3.2311742677852644e-18,9.405648317367928e-20,4.0955163712710047e-25,4.0508607606348216e-22,7.870206061724058e-40,5.244919593341115e-32,3.1375224611360117e-9
0.00035,0.35,2.0614891828469987e-15,2.0894819300305926e-15,1.2900067254322533e-19,3.126633521692406e-17,6.1036538702506e-35,1.219287295080524e-26,3.1445873607991744e-9
0.0004,0.4,5.955054175528242e-15,6.0604875116233555e-15,4.91507380488959e-19,1.0334845909417574e-16,2.018319878231483e-34,2.6103884600586415e-27,-2.576384381424003e-9
0.00045,0.45,1.5199443755661884e-14,1.5494148493712466e-14,1.5963386308564215e-18,2.9623459811913614e-16,5.7857819624269785e-34,9.357087571796248e-26,-6.647856220809634e-11
0.0005,0.5,3.510993959375468e-14,3.58570222484644e-14,4.5714282786431e-18,7.59041114690649e-16,1.4827289003938164e-33,1.4899263402667803e-26,7.3870317023057945e-9
0.00055,0.55,7.479199077642551e-14,7.655424750698258e-14,1.182401236546924e-17,1.7757709296733969e-15,3.469101541342701e-33,4.712024515057195e-25,1.690186751335557e-9
0.0006,0.6,1.4908961188987988e-13,1.529109347023952e-13,2.811712556661487e-17,3.85387975787305e-15,7.529533084656833e-33,6.167747595177098e-26,4.439819791161171e-9
0.00065,0.65,2.8101845724355223e-13,2.888043018341124e-13,6.230429666052294e-17,7.851902668914708e-15,1.5341599980834673e-32,1.7943896191252387e-24,3.753781695807881e-9
0.0007,0.7,5.050357692291046e-13,5.200643893812352e-13,1.3000105172358384e-16,1.5159209841847044e-14,2.9620946740877805e-32,2.0433114462600992e-25,5.886379930510435e-10
0.00075,0.75,8.710890396779616e-13,8.98766614361109e-13,2.575461524283642e-16,2.793822266905022e-14,5.459352603519665e-32,5.599786952031515e-24,3.1018334801322095e-9
0.0009,0.9,3.665473169944014e-12,3.8036446903992834e-12,1.5592368746505806e-15,1.397378372189178e-13,2.730904892128188e-31,1.4250656434681221e-24,7.079888999454817e-9
0.00095,0.95,5.606507407262246e-12,5.828646264177448e-12,2.6546201702431598e-15,2.2479233763043408e-13,4.393258790850707e-31,3.603231378446926e-23,-1.1394549756910767e-9
0.001,1.0,8.385717943166778e-12,8.733882324333282e-12,4.393718108559296e-15,3.525581743471234e-13,6.890456883712969e-31,3.2004529887505954e-24,7.507206297861244e-11
0.00105,1.05,1.2291768193218744e-11,1.2825078073590994e-11,7.089030156339709e-15,5.40406067428347e-13,1.0562042453531785e-30,7.858886979723169e-23,7.156899836722469e-9
0.0011,1.1,1.7689861629034573e-11,1.848994070020093e-11,1.1175983575992023e-14,8.112638768430157e-13,1.5856218527064695e-30,6.637666222384845e-24,8.822100671732688e-9
0.00115,1.15,2.5036453314727217e-11,2.6214140788151237e-11,1.7250922246554403e-14,1.1949397626271057e-12,2.335566543385551e-30,1.5883322055417276e-22,1.366956689907102e-9
0.0012,1.2,3.4895735358020394e-11,3.659927866685863e-11,2.611781412431038e-14,1.7296630863043022e-12,3.380772436931057e-30,1.2916762643261319e-23,1.9633417718974102e-9
0.00125,1.25,4.795793828130132e-11,5.03829329131327e-11,3.884500513675355e-14,2.463843942361807e-12,4.815873199201268e-30,3.0125809385738425e-22,4.305393972777882e-9
0.0013,1.3,6.505962279602241e-11,6.846087087868865e-11,5.6833400113659605e-14,3.4580806243278924e-12,6.759334264201782e-30,2.3932992715158397e-23,-8.584519786059633e-10
0.00135,1.35,8.720598782984604e-11,9.19114980567644e-11,8.189755196540502e-14,4.787408641554816e-12,9.357841639957062e-30,5.415865736020145e-22,8.626715963222513e-10
0.0014,1.4,1.1559513987656992e-10,1.220226003858707e-10,1.1636115303755057e-13,6.543820724219266e-12,1.2791238141435203e-29,4.2889042257889065e-23,-9.38119001370909e-10
0.00145,1.45,1.5164456277572878e-10,1.603204322420272e-10,1.631685109156603e-13,8.839042292835322e-12,1.7277939617147426e-29,9.303907004569723e-22,4.315622174819302e-9
0.0019,1.9,1.2036484778860137e-9,1.2878492054135063e-9,2.1343668789385314e-12,8.633509640639502e-11,1.6877630065823276e-28,9.318429626122945e-22,1.9999647858982957e-9
0.00195,1.95,1.4656591421401871e-9,1.5699655922644825e-9,2.7225054378484568e-12,1.0702895211682147e-10,2.092321799459728e-28,8.978393577633092e-21,-3.4453134590320743e-9
0.002,2.0,1.7750730974567252e-9,1.903476499129593e-9,3.448797427190458e-12,1.318522054259662e-10,2.5776122355072876e-28,1.9126741391748657e-21,6.325910073113298e-9
0.00205,2.0500000000000003,2.1387639142267366e-9,2.29588703561669e-9,4.340186663661514e-12,1.6146330669930458e-10,3.1565077813567647e-28,1.3643931934215154e-20,-1.3542967961165992e-9
0.0021,2.1,2.564354355831756e-9,2.7555247768463824e-9,5.427792482775878e-12,1.9659821388386414e-10,3.843397493889565e-28,3.981147504781384e-21,3.8646564895487096e-10
0.00215,2.15,3.0602693020470756e-9,3.2915977074611768e-9,6.747380781511877e-12,2.380757829159611e-10,4.654291125303042e-28,2.0916153842429618e-20,-3.279630954075539e-9
0.0022,2.2,3.635789977839482e-9,3.914253281742815e-9,8.339864681137648e-12,2.868031684903047e-10,5.606925044290321e-28,8.268531928269714e-21,-9.415823349860587e-11
0.00255,2.5500000000000003,1.0878716041670439e-8,1.1774829891101202e-8,3.1903303808127736e-11,9.280171500588996e-10,1.81431041219884e-27,1.3992679918637176e-19,-3.17985150884825e-9
0.0026,2.6,1.2546519455793667e-8,1.3588236951363924e-8,3.795669927294815e-11,1.0796741997869236e-9,2.1108147609363937e-27,1.2672263146744062e-19,4.943844641279541e-9
0.00265,2.65,1.4425316258700717e-8,1.563187355938713e-8,4.497886129413959e-11,1.2515361607279184e-9,2.4468229474257193e-27,2.345827783660549e-19,-1.2523989242469815e-9
0.0027,2.7,1.6536074263998283e-8,1.7928630271395963e-8,5.309543387403945e-11,1.4456514396385161e-9,2.8263401005872643e-27,2.3527522152603583e-19,-1.6329665331177881e-9
0.00275,2.75,1.8901243130892835e-8,2.050300030566818e-8,6.244429406487878e-11,1.6642014662238961e-9,3.253631429397188e-27,3.9510295966720823e-19,-2.61593325074884e-9
0.0028,2.8,2.154480885471347e-8,2.338113494849587e-8,7.31762800384587e-11,1.9095023788297122e-9,3.7332255733108425e-27,4.2566997808500517e-19,5.009279074105069e-9
0.00285,2.85,2.449234706190028e-8,2.6590897231932987e-8,8.545592013949042e-11,2.1840060889371965e-9,4.2699166304333595e-27,6.642226847425413e-19,-1.2343385161934903e-9
0.0032,3.2,5.6141640233334666e-8,6.106751362632327e-8,2.317739463774777e-10,5.157647338308345e-9,1.0083855782714772e-26,3.594913625880197e-18,-1.0541515920845315e-9
0.00325,3.25,6.264869621695894e-8,6.815468839575061e-8,2.6423527214749103e-10,5.770227442406485e-9,1.1281558783471876e-26,4.7926302501225736e-18,-8.527888371254418e-9
0.0033,3.3,6.976936715760366e-8,7.590898255087085e-8,3.0045682288878856e-10,6.440072218812611e-9,1.2591227776314563e-26,5.807292144042708e-18,2.662443303347825e-9
0.00335,3.35,7.754764869501844e-8,8.437779011116399e-8,3.4077757803257326e-10,7.170918991796131e-9,1.402017040087543e-26,7.57909500334582e-18,-2.374412776444936e-9
0.0034,3.4,8.602957921086261e-8,9.361063506333533e-8,3.8555719937786216e-10,7.96661305279773e-9,1.5575905467850912e-26,9.201730312954381e-18,9.563551806244809e-10
0.00365,3.65,1.4075127134960723e-7,1.5311998419533242e-7,6.904272513082193e-10,1.3059140094060012e-8,2.5532849183150022e-26,2.729846409977247e-17,-2.9461042803928877e-9
0.0037,3.7,1.545391382077251e-7,1.6809831837665304e-7,7.70722271059459e-10,1.4329902441408273e-8,2.8017468082366925e-26,3.292138565070817e-17,1.4537874481487272e-9
0.00375,3.75,1.6941188832139646e-7,1.8424817725003479e-7,8.586049911621473e-10,1.569489391191314e-8,3.068633122082751e-26,4.0596731158132784e-17,-7.846737794475184e-9
0.0038,3.8,1.8543257010130616e-7,2.0163653072608308e-7,9.546128552964972e-10,1.7158573474798718e-8,3.3548157597222526e-26,4.874678935842596e-17,-5.225932326153034e-9
0.00395,3.95,2.4104516307611764e-7,2.619349476016868e-7,1.297107238672821e-9,2.2186891759357262e-8,4.3379704047177683e-26,8.603534530858883e-17,-4.7986378049715036e-9
0.004,4.0,2.6233133700681266e-7,2.849904887531301e-7,1.4314506264544915e-9,2.4090602368793492e-8,4.7101921082535327e-26,1.0229567849746661e-16,-3.876172828392416e-9
0.00405,4.05,2.851131138659571e-7,3.096519009526055e-7,1.5769513591650673e-9,2.6115738442324837e-8,5.106156210448035e-26,1.227388565897103e-16,-3.3659369785978836e-9
0.0041,4.1000000000000005,3.094664754208539e-7,3.3599906817456264e-7,1.7342842922314136e-9,2.826687704807906e-8,5.526757728524259e-26,1.45184557717052e-16,2.284041980478465e-9
0.00415,4.15,3.354695300619997e-7,3.6411396944409545e-7,1.9041466840070577e-9,3.05485860613364e-8,5.972889882574091e-26,1.7288194531535009e-16,-4.593475421343732e-9
0.0046,4.6,6.57654723773191e-7,7.112317866841784e-7,4.122491255330159e-9,5.769955416260974e-8,1.1281647615389407e-25,6.985240934968636e-16,-3.0093687679500752e-9
0.00465,4.6499999999999995,7.049076889473104e-7,7.61978174074558e-7,4.460706397317275e-9,6.153119151118777e-8,1.203084407939699e-25,8.065541066285179e-16,-1.2570523176600112e-8
0.0047,4.7,7.548054444344484e-7,8.155260729391745e-7,4.820506889313059e-9,6.55411353872047e-8,1.281490610889063e-25,9.261923966814836e-16,-5.908161423701124e-9
0.00475,4.75,8.074503752290134e-7,8.719809120519872e-7,5.202831850637943e-9,6.97333686595552e-8,1.3634612608854143e-25,1.064001440916519e-15,-1.2992354219715403e-8
0.0052,5.2,1.4227167493158243e-6,1.5291840498945131e-6,9.820707062969761e-9,1.1628800763045048e-7,2.2737524070858416e-25,3.3187648843839665e-15,-7.88937326121205e-9
0.00525,5.25,1.5088843402514701e-6,1.6209072086690515e-6,1.048361461906939e-8,1.225064830157511e-7,2.395344530693758e-25,3.730941048867178e-15,-1.7168719437423523e-8
0.0053,5.3,1.5990511856347368e-6,1.7168171779278966e-6,1.118046278148861e-8,1.2894645505981874e-7,2.52126792943963e-25,4.182326031194071e-15,-1.0647304941574573e-8
0.00535,5.35,1.693342632751499e-6,1.8170413802899958e-6,1.1912382140503162e-8,1.3561112966255137e-7,2.6515853133751233e-25,4.684486968782503e-15,-1.1763962204818203e-8
0.0054,5.4,1.7918860109319326e-6,1.921709163612589e-6,1.2680518377482208e-8,1.425036710449736e-7,2.7863585793441066e-25,5.233227975818316e-15,-7.93204570580385e-9
0.00545,5.45,1.8948106583498737e-6,2.0309518333821514e-6,1.3486032346338045e-8,1.496272073585759e-7,2.9256489198419456e-25,5.841139785495377e-15,-1.4198510217846686e-8
0.0055,5.5,2.0022479515622144e-6,2.1449026880834522e-6,1.4330100205491844e-8,1.5698483671494937e-7,3.0695169418638253e-25,6.5040171227717914e-15,-5.276246860764161e-9
0.00555,5.55,2.1143313392585175e-6,2.2636970590526546e-6,1.5213913601192032e-8,1.6457963337463772e-7,3.218022787109298e-25,7.2355360327586e-15,-1.3455945587000833e-8
0.0057,5.7,2.479824428207469e-6,2.650525996740731e-6,1.8115981039873046e-8,1.888175495466662e-7,3.6919644002286844e-25,9.857234685606535e-15,-1.6611364555981593e-8
0.00575,5.75,2.611869471311788e-6,2.790089970655979e-6,1.9171012013312612e-8,1.973915113276078e-7,3.8596181671527223e-25,1.0898905964767455e-14,-1.899729901572583e-8
0.0058,5.8,2.749260326405369e-6,2.9352062233242913e-6,2.0271988962261924e-8,2.0621788585730458e-7,4.0322080316093526e-25,1.2027796467580386e-14,-1.185199415146021e-8
0.00595,5.95,3.194987355432175e-6,3.405366082848151e-6,2.386359846285339e-8,2.3424232584736377e-7,4.580197649739702e-25,1.6049048228881406e-14,-1.5416560759314503e-8
0.006,6.0,3.3552532219005776e-6,3.5742011024132407e-6,2.5161454873218265e-8,2.441093353585671e-7,4.773138172618032e-25,1.7618473340288514e-14,-9.695741474651727e-9
0.00605,6.05,3.5216231505918666e-6,3.7493556674093997e-6,2.651189980686929e-8,2.542444165839203e-7,4.9713212035273515e-25,1.9323902772268725e-14,-2.1158038338932758e-8
0.0061,6.1000000000000005,3.6942564120859914e-6,3.93099091527716e-6,2.7916320723129867e-8,2.6465082388135753e-7,5.174810428681736e-25,2.1161962442507213e-14,-1.1778482175854927e-8
