t_s,t_ms,tau_us,x1_um,x2_um,tip_overlap_nm,bend_nm,v1_mm_s,v2_mm_s,Vout_mV,C_pF,PR_pW,Qe2_uN,Qwall2_uN,Qbend2_uN,Qfilm2_uN,ER_pJ,Wbase_nJ,Wbias_nJ,Dfilm_nJ,Dwall_nJ,Dstruct_nJ,deltaE_nJ,residual_aJ,a_g
0.0,0.0,0.0,0.0,0.0,-13710.0,0.0,0.0,0.0,0.0,5.6478880853384,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0e-5,0.05,50.0,-5.87026996210022e-12,-5.798290457438612e-12,-13709.999999994203,7.19795046616072e-11,-5.867882489249887e-10,-5.809095236559163e-10,9.829262164539904e-24,5.647888085338401,2.300342730934659e-46,-5.849986728097522e-14,4.998701564795466e-28,-1.301214216362439e-10,1.3815638424214805e-10,4.1992230379301e-33,3.6965480254244773e-22,3.539294818361747e-28,-1.0480509073990235e-23,-3.884660310536389e-41,0.0,3.2311742677852644e-18,3.2307941321197187e-9,4.796251618982594e-9
0.0001,0.1,100.0,-1.874727686890534e-10,-1.8628749672738632e-10,-13709.999999813714,1.1852719616670585e-9,-9.365976113282246e-9,-9.318401274330217e-9,5.8425103431986195e-21,5.647888085338401,8.127363597710202e-41,-1.876991096710415e-12,8.408336070686778e-27,-2.1426831624191607e-9,2.211711556365112e-9,5.244919593341115e-32,9.405648317367928e-20,4.0955163712710047e-25,4.0508607606348216e-22,7.870206061724058e-40,0.0,3.2311742677852644e-18,3.1375224611360117e-9,3.8369249645839204e-8
0.00015,0.15,150.0,-1.4206030116107146e-9,-1.4145903460230394e-9,-13709.99999858541,6.012665587675329e-9,-4.7290720978662985e-8,-4.713050088647599e-8,2.3881109117718987e-19,5.647888085338401,1.3578746968866688e-37,-1.4246742621056997e-11,4.450235296358575e-26,-1.0869435650742172e-8,1.1178689995046716e-8,1.2149148213949538e-29,2.405221638420218e-18,2.5256357932518568e-23,1.4989738712009032e-20,2.826507231472365e-38,0.0,3.2311742677852644e-18,8.409171117191352e-10,1.2949192401182595e-7
0.0002,0.2,200.0,-5.972678434921254e-9,-5.953719574743143e-9,-13709.99999404628,1.8958860178111404e-8,-1.4903193655470135e-7,-1.4865400600807002e-7,3.2724484770421414e-18,5.6478880853384,2.549742627356055e-35,-5.994795861263199e-11,1.4660163102600773e-25,-3.427300383041487e-8,3.524646437891054e-8,1.1644362628402609e-29,2.3964548077614315e-17,4.631877596380544e-22,2.064552011656017e-19,4.026358433523049e-37,0.0,2.261821987449685e-17,-1.1403361897114885e-9,3.06929572034354e-7
0.00025,0.25,250.0,-1.8182083929360153e-8,-1.8135974307719605e-8,-13709.999981864026,4.610962164054703e-8,-3.627080862792108e-7,-3.619742665811953e-7,2.4752576736737844e-17,5.6478880853384,1.4587858454954652e-33,-1.8258593241921435e-10,3.7218755601704663e-25,-8.335497093490737e-8,8.58077522649818e-8,7.829297272595113e-28,1.4245119072967382e-16,4.391255459456653e-21,1.5281756736579574e-18,2.977389287396827e-36,0.0,1.3894049351476637e-16,-1.9869127967081646e-9,5.994360429049998e-7
0.0003,0.3,300.0,-4.512272354333911e-8,-4.502754898967511e-8,-13709.99995497245,9.517455366400045e-8,-7.495638594104832e-7,-7.483041601409782e-7,1.2873378477496612e-16,5.647888085338401,3.9458065101160244e-32,-4.532783005450907e-10,8.009186869307332e-25,-1.720524235971896e-7,1.7736454920803124e-7,2.759352218872418e-28,6.107125592532861e-16,2.746420057058674e-20,7.85705337191907e-18,1.5337640327197888e-35,0.0,6.042295880758444e-16,1.3466179939071254e-9,1.035749923123093e-6
0.00035,0.35,350.0,-9.725130429361222e-8,-9.707588020158324e-8,-13709.99990292412,1.7542409202897632e-7,-1.3836011584165009e-6,-1.3816149753942443e-6,5.173304003344723e-16,5.647888085338401,6.3721605502434605e-31,-9.771685762957501e-10,1.5370347036569201e-24,-3.1712405290047745e-7,3.274407093056001e-7,1.219287295080524e-26,2.0894819300305926e-15,1.2900067254322533e-19,3.126633521692406e-17,6.1036538702506e-35,0.0,2.0614891828469987e-15,3.1445873607991744e-9,1.644590723305621e-6
0.0004,0.4,400.0,-1.890349629232769e-7,-1.8873734192464986e-7,-13709.99981126266,2.976209986270303e-7,-2.3511620459638734e-6,-2.3482197257984477e-6,1.7218421323422947e-15,5.6478880853384,7.058905544545382e-30,-1.899741969058205e-9,2.7116392963564473e-24,-5.380263122427976e-7,5.564832133293922e-7,2.6103884600586415e-27,6.0604875116233555e-15,4.91507380488959e-19,1.0334845909417574e-16,2.018319878231483e-34,0.0,5.955054175528242e-15,-2.576384381424003e-9,2.4546550664864813e-6
0.00045,0.45,450.0,-3.3955694646035197e-7,-3.3908299998682797e-7,-13709.999660917001,4.7394647352397537e-7,-3.7504684459947527e-6,-3.7463126489260867e-6,4.963059947910581e-15,5.647888085338401,5.864753344417661e-29,-3.4129204108778485e-9,4.4848554005579124e-24,-8.567798459346483e-7,8.877531132429905e-7,9.357087571796248e-26,1.5494148493712466e-14,1.5963386308564215e-18,2.9623459811913614e-16,5.7857819624269785e-34,0.0,1.5199443755661884e-14,-6.647856220809634e-11,3.4946128784460966e-6
