t_s,t_us,x1_um,x2_um,Vout_mV,ER_J,energy_residual_J,tip_overlap_nm
0.0,0.0,13.860000000000001,13.680000000000001,0.0,0.0,0.0,-29.999999999999712
2.5e-7,0.25,13.860992524048445,13.681586215681241,1.5828042920948902,4.2135442702577354e-19,1.5935607376640713e-20,-28.41378431876014
5.0e-7,0.5,13.861970340610425,13.68423520046501,4.1025266056449405,5.3137581242667985e-18,1.5433670720052972e-20,-25.764799534990804
7.5e-7,0.75,13.86293385001185,13.687791560082811,7.378610672562715,2.5078743402575523e-17,3.7099512228000997e-20,-22.208439917189498
1.0e-6,1.0,13.863883493002554,13.692110781181203,11.264569242181533,7.704736974748617e-17,3.67811303900345e-20,-17.889218818798724
1.25e-6,1.25,13.864819750036615,13.69705623415063,15.637612638446923,1.8512042883387964e-16,4.2443998362256155e-20,-12.943765849371347
1.5e-6,1.5,13.8657431456207,13.702494792956209,20.387683577417075,3.787909833922152e-16,4.975615784715771e-20,-7.505207043791891
1.75e-6,1.75,13.866654247899808,13.70829442264512,25.405335690212617,6.916236240978655e-16,3.004415546771566e-20,-1.7055773548811057
2.0e-6,2.0,13.8675536885012,13.714315768556716,30.47199972770876,1.1580651528346162e-15,1.5473872232986288e-20,4.315768556715504
2.25e-6,2.25,13.868442689505518,13.720244371812754,35.02781547663202,1.800183063608272e-15,3.1898071592219435e-21,10.244371812753144
2.5e-6,2.5,13.869323140323733,13.725574384505887,38.49460184368452,2.6100577604565103e-15,7.142502641003657e-21,15.574384505885922
2.75e-6,2.75,13.870196711368116,13.729889776821977,40.48377264211725,3.5446449253842067e-15,-6.313871231204394e-21,19.88977682197579
3.0e-6,3.0,13.8710643255547,13.7330173133052,40.92421070566468,4.5368591035638246e-15,1.9225587059724624e-20,23.017313305199576
3.25e-6,3.25,13.871926113512334,13.735022802941566,40.024502296947134,5.516737105894943e-15,-1.1045456618313518e-19,25.02280294156616
3.5e-6,3.5,13.872781684233608,13.736113037968712,38.13496103930568,6.429089550121703e-15,-1.4417276793392086e-19,26.113037968711154
3.75e-6,3.75,13.873630437680283,13.736533019953496,35.61888082790952,7.240557104046684e-15,-1.6610565736180759e-19,26.533019953494936
4.0e-6,4.0,13.874471769484419,13.73650375712106,32.78157177511319,7.937837352522681e-15,-1.6384828147015037e-19,26.503757121059273
4.25e-6,4.25,13.875305159904643,13.73619954484577,29.849911511845654,8.522015578360885e-15,-1.7236235134875639e-19,26.19954484576822
4.5e-6,4.5,13.876130192829649,13.735747671151865,26.97866271586817,9.00267003140124e-15,-1.5008813198033076e-19,25.74767115186395
4.75e-6,4.75,13.876946545329284,13.735236557264468,24.265626890244675,9.393316329730239e-15,-1.5237627511336582e-19,25.236557264466274
5.0e-6,5.0,13.877753969692957,13.734725118078863,21.766869670982054,9.708422547472567e-15,-1.5215761347272913e-19,24.7251180788628
5.25e-6,5.25,13.87855227664655,13.73425071300853,19.50910266551207,9.96169709526755e-15,-1.5083093855481624e-19,24.250713008528948
5.5e-6,5.5,13.879341321965248,13.733835210719866,17.498938639710182,1.0165254716176835e-14,-1.502443463314811e-19,23.83521071986463
5.75e-6,5.75,13.880120996282404,13.73348944245858,15.72958961372976,1.0329329803032827e-14,-1.607149827021106e-19,23.489442458578868
6.0e-6,6.0,13.880891217294506,13.733216462746512,14.185686453613013,1.0462301033735617e-14,-1.4569550242846728e-19,23.216462746510302
6.25e-6,6.25,13.881651923622805,13.73301397284436,12.846769560847324,1.0570873390887339e-14,-1.4572487218697431e-19,23.013972844358758
6.5e-6,6.5,13.882403069812932,13.732876158236595,11.689837377390434,1.0660322863660662e-14,-1.449238996289073e-19,22.876158236593604
6.75e-6,6.75,13.883144622161323,13.732795102338002,10.691208156476325,1.0734750034137203e-14,-1.4426481277970012e-19,22.795102338001126
7.0e-6,7.0,13.883876555205338,13.732761875496141,9.827859041794811,1.0797314225249853e-14,-1.4376235387194958e-19,22.761875496140124
7.25e-6,7.25,13.884598848802565,13.732767359592975,9.078350511545004,1.0850435988892106e-14,-1.4306814254286445e-19,22.767359592974614
7.5e-6,7.5,13.885311485765227,13.732802847974844,8.423413314745702,1.0895964980604585e-14,-1.4372793217247486e-19,22.80284797484246
7.75e-6,7.75,13.886014450024113,13.732860451661006,7.846259842723962,1.0935315077432119e-14,-1.415871257392894e-19,22.860451661005058
8.0e-6,8.0,13.886707725287806,13.732933340596833,7.33267528417649,1.096957077321254e-14,-1.42492418374179e-19,22.933340596833443
8.25e-6,8.25,13.887391294146363,13.733015849344271,6.870940595109481,1.099956965611869e-14,-1.4260891190005547e-19,23.015849344270435
8.5e-6,8.5,13.888065137554774,13.733103477231474,6.451636366275279,1.1025965369217561e-14,-1.4245782380688096e-19,23.10347723147256
8.75e-6,8.75,13.888729234621309,13.733192812376378,6.067371821172229,1.1049275131470013e-14,-1.4239952049839305e-19,23.192812376377205
9.0e-6,9.0,13.889383562624712,13.733281406659497,5.712477146517179,1.1069915127826991e-14,-1.4235287203548903e-19,23.28140665949641
9.25e-6,9.25,13.890028097188367,13.733367624864533,5.38268953929765,1.1088226528936761e-14,-1.4225530995964752e-19,23.367624864531734
9.5e-6,9.5,13.89066281254901,13.733450486548543,5.074855499739599,1.1104494356642059e-14,-1.4217294571197454e-19,23.450486548542802
9.75e-6,9.75,13.891287681869816,13.733529514101617,4.786663944734171,1.111896099158077e-14,-1.4215913082639262e-19,23.529514101615984
1.0e-5,10.0,13.891902677559989,13.733604596005005,4.516418401316115,1.1131835724168974e-14,-1.4214410586604742e-19,23.604596005004506
1.025e-5,10.25,13.892507771575406,13.733675870040832,4.262850730981507,1.114330146220761e-14,-1.4215268786490266e-19,23.675870040831445
