t_s,t_us,x1_um,x2_um,Vout_mV,ER_J,energy_residual_J,tip_overlap_nm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13710.0
5.0e-5,50.0,-5.87026996210022e-12,-5.798290457438612e-12,9.829262164539904e-24,4.1992230379300996e-45,3.2307941321197187e-27,-13709.999999994203
0.0001,100.0,-1.874727686890534e-10,-1.8628749672738632e-10,5.8425103431986195e-21,5.244919593341114e-44,3.1375224611360117e-27,-13709.999999813714
0.00015,150.0,-1.4206030116107146e-9,-1.4145903460230394e-9,2.3881109117718987e-19,1.2149148213949538e-41,8.409171117191352e-28,-13709.99999858541
0.0002,200.0,-5.972678434921254e-9,-5.953719574743143e-9,3.2724484770421414e-18,1.1644362628402608e-41,-1.1403361897114885e-27,-13709.99999404628
0.00025,250.0,-1.8182083929360153e-8,-1.8135974307719605e-8,2.4752576736737844e-17,7.829297272595112e-40,-1.9869127967081647e-27,-13709.999981864026
0.0003,300.0,-4.512272354333911e-8,-4.502754898967511e-8,1.2873378477496612e-16,2.759352218872418e-40,1.3466179939071253e-27,-13709.99995497245
0.00035,350.0,-9.725130429361222e-8,-9.707588020158324e-8,5.173304003344723e-16,1.219287295080524e-38,3.1445873607991744e-27,-13709.99990292412
0.0004,400.0,-1.890349629232769e-7,-1.8873734192464986e-7,1.7218421323422947e-15,2.6103884600586415e-39,-2.576384381424003e-27,-13709.99981126266
0.00045,450.0,-3.3955694646035197e-7,-3.3908299998682797e-7,4.963059947910581e-15,9.357087571796248e-38,-6.647856220809635e-29,-13709.999660917001
0.0005,500.0,-5.730981646694574e-7,-5.723802430739921e-7,1.277195464926158e-14,1.4899263402667804e-38,7.387031702305794e-27,-13709.999427619758
0.00055,550.0,-9.196925410921287e-7,-9.186482171917498e-7,2.998601565339151e-14,4.712024515057195e-37,1.690186751335557e-27,-13709.999081351783
0.0006,600.0,-1.4156542172035298e-6,-1.414185117032787e-6,6.526459546740006e-14,6.167747595177097e-38,4.439819791161171e-27,-13709.998585814883
0.00065,650.0,-2.104074779252266e-6,-2.1020655043314507e-6,1.3328844136090912e-13,1.7943896191252388e-36,3.753781695807881e-27,-13709.997897934498
0.0007,700.0,-3.0352888238409514e-6,-3.0326059677909523e-6,2.5784265342897207e-13,2.043311446260099e-37,5.886379930510435e-28,-13709.996967394034
0.00075,750.0,-4.267306297431069e-6,-4.263797560659926e-6,4.759913409543077e-13,5.599786952031515e-36,3.1018334801322095e-27,-13709.995736202442
0.0008,800.0,-5.866210208090967e-6,-5.861703612374609e-6,8.436001530397246e-13,5.746086744024639e-37,1.5470821856023903e-27,-13709.994138296388
0.00085,850.0,-7.906518428524851e-6,-7.90082163460625e-6,1.4424397549337641e-12,1.5053555590359772e-35,5.710797571769284e-27,-13709.992099178367
0.0009,900.0,-1.0471508487024998e-5,-1.0464408216016357e-5,2.389184787258079e-12,1.4250656434681221e-36,7.079888999454817e-27,-13709.989535591785
0.00095,950.0,-1.365350436282773e-5,-1.3644765923919439e-5,3.8465338428686085e-12,3.603231378446926e-35,-1.1394549756910768e-27,-13709.986355234078
0.001,1000.0,-1.755412449210053e-5,-1.7543491416320716e-5,6.036829422944685e-12,3.2004529887505955e-36,7.507206297861244e-29,-13709.982456508586
0.00105,1050.0,-2.2284490307267984e-5,-2.2271684089160753e-5,9.258346644707249e-12,7.858886979723168e-35,7.15689983672247e-27,-13709.977728315913
0.0011,1100.0,-2.7965394831885432e-5,-2.7950114777818677e-5,1.3904710156607383e-11,6.637666222384845e-36,8.822100671732687e-27,-13709.972049885224
0.00115,1150.0,-3.472743096393232e-5,-3.4709354148275405e-5,2.0487482075028024e-11,1.5883322055417276e-34,1.366956689907102e-27,-13709.965290645852
0.0012,1200.0,-4.271107928724733e-5,-4.268986061410641e-5,2.9662493212093047e-11,1.2916762643261319e-35,1.9633417718974102e-27,-13709.957310139387
0.00125,1250.0,-5.206675535327394e-5,-5.204202772442284e-5,4.2259742050354165e-11,3.0125809385738423e-34,4.3053939727778814e-27,-13709.947957972277
0.0013,1300.0,-6.295481658708691e-5,-6.292619117278161e-5,5.931760173662092e-11,2.3932992715158398e-35,-8.584519786059632e-28,-13709.93707380883
0.00135,1350.0,-7.554552906358023e-5,-7.551259567632432e-5,8.212082269418994e-11,5.415865736020144e-34,8.626715963222512e-28,-13709.924487404325
0.0014,1400.0,-9.001899461416237e-5,-8.998132218115177e-5,1.122433235826676e-10,4.2889042257889067e-35,-9.38119001370909e-28,-13709.91001867782
0.00145,1450.0,-0.00010656503880340563,-0.00010652217593718918,1.515947741556649e-10,9.303907004569722e-34,4.3156221748193015e-27,-13709.893477824064
0.0015,1500.0,-0.00012538306052999013,-0.00012533453619216795,2.0247233504507642e-10,7.572003040813959e-35,4.144397433298865e-27,-13709.874665463809
0.00155,1550.0,-0.0001466818440706739,-0.00014662716832769093,2.6761589605482223e-10,1.538170678334868e-33,1.4114126921410196e-27,-13709.853372831672
0.0016,1600.0,-0.00017067933459896884,-0.00017061799946397116,3.5026871008945184e-10,1.345570026450153e-34,-9.765782876348976e-30,-13709.829382000538
0.00165,1650.0,-0.00019760237825824288,-0.00019753385861764403,4.542408931059674e-10,2.4635561608269903e-33,3.438396424460762e-27,-13709.802466141384
0.0017,1700.0,-0.0002276864280779418,-0.00022761018269588804,5.839784224804784e-10,2.458486351428779e-34,4.414965259992605e-27,-13709.772389817306
0.00175,1750.0,-0.0002611752170514881,-0.00026109068965050745,7.446339919326544e-10,3.848238619768344e-33,1.1543074181897333e-27,-13709.73890931035
0.0018,1800.0,-0.0002983203998978762,-0.00029822702030821613,9.421433389212665e-10,4.684545801962907e-34,-2.0140886653678324e-27,-13709.701772979692
0.00185,1850.0,-0.00033938116503912845,-0.00033927835041477786,1.1833020195418908e-9,5.9058608225949236e-33,-1.2434693500598302e-27,-13709.660721649587
0.0019,1900.0,-0.00038462381852205684,-0.00038451097461534325,1.475847521894504e-9,9.318429626122945e-34,1.9999647858982957e-27,-13709.615489025386
0.00195,1950.0,-0.00043432134160208266,-0.00043419786409465286,1.8285400121679138e-9,8.978393577633093e-33,-3.445313459032074e-27,-13709.565802135905
0.002,2000.0,-0.0004887529238945846,-0.0004886181997761145,2.2512482120242468e-9,1.9126741391748657e-33,6.325910073113298e-27,-13709.511381800225
0.00205,2050.0,-0.0005482034739668508,-0.0005480568829591989,2.7550317007024694e-9,1.3643931934215153e-32,-1.3542967961165992e-27,-13709.451943117041
0.0021,2100.0,-0.0006129631094216429,-0.0006128040254393413,3.3522281126416507e-9,3.9811475047813844e-33,3.8646564895487096e-28,-13709.387195974561
0.00215,2150.0,-0.0006833266284685568,-0.0006831544211133414,4.0565341901676274e-9,2.0916153842429619e-32,-3.279630954075539e-27,-13709.316845578887
0.0022,2200.0,-0.0007595929651468182,-0.0007594070012267418,4.883091525531791e-9,8.268531928269715e-33,-9.415823349860586e-29,-13709.240592998774
0.00225,2250.0,-0.0008420646302853602,-0.0008418642753562765,5.848563270937218e-9,3.2600099765883604e-32,3.4735860624674303e-28,-13709.158135724645
0.0023,2300.0,-0.0009310471404423363,-0.0009308317603620048,6.971215425912251e-9,1.6936657919767483e-32,-2.811384710411023e-27,-13709.069168239637
0.00235,2350.0,-0.0010268484369656567,-0.0010266173994584351,8.270985954001413e-9,5.190391823990602e-32,-1.809281278777059e-27,-13708.973382600541
0.0024,2400.0,-0.0011297782974603603,-0.001129530973682627,9.769558522066986e-9,3.3971331858723694e-32,4.524380854955392e-27,-13708.870469026318
0.00245,2450.0,-0.0012401477418259774,-0.0012398835079304228,1.1490420754540555e-8,8.44542993655716e-32,3.250386285649002e-27,-13708.76011649207
0.0025,2500.0,-0.0013582684351589758,-0.001357986673847829,1.3458927385311272e-8,6.647710411664091e-32,3.378834642545953e-27,-13708.642013326154
0.00255,2550.0,-0.0014844520896706442,-0.0014841521917363996,1.5702344515799067e-8,1.3992679918637176e-31,-3.17985150884825e-27,-13708.515847808263
0.0026,2600.0,-0.001619009867891071,-0.0016186912337347301,1.8249899333764967e-8,1.2672263146744061e-31,4.9438446412795405e-27,-13708.381308766266
0.00265,2650.0,-0.0017622517892636397,-0.0017619138303894256,2.1132807535682234e-8,2.3458277836605487e-31,-1.2523989242469816e-27,-13708.238086169611
0.0027,2700.0,-0.001914486142343076,-0.0019141282828198016,2.438430710604194e-8,2.3527522152603585e-31,-1.632966533117788e-27,-13708.08587171718
0.00275,2750.0,-0.0020760189046238023,-0.0020756405825123284,2.8039666501873527e-8,3.951029596672082e-31,-2.6159332507488397e-27,-13707.924359417488
0.0028,2800.0,-0.0022471531721228173,-0.0022467538408598646,3.213620047005133e-8,4.256699780850052e-31,5.009279074105069e-27,-13707.75324615914
0.00285,2850.0,-0.0024281886006358106,-0.0024277677303743044,3.6713257157747404e-8,6.642226847425413e-31,-1.2343385161934903e-27,-13707.572232269627
0.0029,2900.0,-0.0026194208606725744,-0.002618977939568854,4.1812214536040366e-8,7.511816440327327e-31,5.966920005560423e-28,-13707.381022060432
0.00295,2950.0,-0.002821141107854552,-0.002820675643303321,4.74764452768183e-8,1.1088033050067739e-30,1.8091169006563057e-27,-13707.179324356697
0.003,3000.0,-0.003033635470635416,-0.003033146990443169,5.3751293056427337e-8,1.294401916214871e-30,2.416668064610781e-27,-13706.966853009557
0.00305,3050.0,-0.003257184556966213,-0.003256672610464514,6.068401480752744e-8,1.831112982009361e-30,-4.021865576825422e-28,-13706.743327389537
0.0031,3100.0,-0.003492062981596539,-0.003491527140686275,6.832373689676587e-8,2.1804662371492742e-30,4.647243533531134e-27,-13706.508472859314
0.00315,3150.0,-0.003738538915449692,-0.003737978775578711,7.672137519134307e-8,2.9842316130467074e-30,-8.166281927872092e-28,-13706.262021224422
0.0032,3200.0,-0.0039968736585725044,-0.003996288839637739,8.592957191530666e-8,3.594913625880197e-30,-1.0541515920845315e-27,-13706.003711160363
0.00325,3250.0,-0.004267321237894823,-0.004266711385072207,9.600259477359781e-8,4.792630250122574e-30,-8.527888371254418e-27,-13705.733288614929
0.0033,3300.0,-0.004550128031091137,-0.004549492815585101,1.0699625606616222e-7,5.807292144042708e-30,2.662443303347825e-27,-13705.450507184416
0.00335,3350.0,-0.0048455324175600825,-0.0048448715372764045,1.1896779294574128e-7,7.579095003345821e-30,-2.374412776444936e-27,-13705.155128462726
0.0034,3400.0,-0.005153764457591883,-0.005153077637726339,1.3197577110744404e-7,9.201730312954381e-30,9.56355180624481e-28,-13704.846922362274
0.00345,3450.0,-0.005475045600508192,-0.005474332594055504,1.460799489910291e-7,1.1799258691552094e-29,-6.06042852659229e-27,-13704.525667405946
0.0035,3500.0,-0.005809588422610974,-0.005808849010787029,1.6134116904633817e-7,1.4315771017065498e-29,-3.992831797727795e-27,-13704.191150989214
0.00355,3550.0,-0.006157596395485221,-0.006156830388067887,1.7782120937256297e-7,1.8085060307892632e-29,-6.70150897532058e-27,-13703.843169611933
0.0036,3600.0,-0.006519263685251974,-0.0065184709208338095,1.955826660910793e-7,2.1888799715867845e-29,-2.2997313761774212e-27,-13703.481529079167
0.00365,3650.0,-0.00689477498307181,-0.0068939553292312,2.1468879645886003e-7,2.729846409977247e-29,-2.9461042803928877e-27,-13703.10604467077
0.0037,3700.0,-0.007284305367251961,-0.007283458720636015,2.3520339636284096e-7,3.292138565070817e-29,1.4537874481487272e-27,-13702.716541279366
0.00375,3750.0,-0.007688020197011673,-0.007687146483338076,2.57190639299539e-7,4.0596731158132785e-29,-7.846737794475184e-27,-13702.312853516663
0.0038,3800.0,-0.008106075038016502,-0.008105174211990066,2.8071495330200017e-7,4.874678935842596e-29,-5.2259323261530335e-27,-13701.894825788011
0.00385,3850.0,-0.008538615619493041,-0.008537687664639438,3.058408604209665e-7,5.951044434256445e-29,-5.4895690243803134e-27,-13701.462312335361
0.0039,3900.0,-0.008985777822796555,-0.00898482275121871,3.326328575113697e-7,7.111577221609969e-29,-4.9021727172938506e-27,-13701.015177248782
0.00395,3950.0000000000005,-0.00944768770100659,-0.009446705553057775,3.61155260923781e-7,8.603534530858883e-29,-4.798637804971504e-27,-13700.553294446943
0.004,4000.0,-0.00992446152919265,-0.009923452373075892,3.9147209551360687e-7,1.0229567849746662e-28,-3.876172828392416e-27,-13700.076547626924
0.00405,4050.0,-0.010416205884697813,-0.010415169815990187,4.236469491646589e-7,1.2273885658971031e-28,-3.3659369785978835e-27,-13699.58483018401
0.0041,4100.0,-0.01092301775686392,-0.010921954897964081,4.5774287413911623e-7,1.4518455771705198e-28,2.284041980478465e-27,-13699.078045102036
0.00415,4150.0,-0.011444984685331469,-0.011443895184848925,4.938222558186501e-7,1.7288194531535008e-28,-4.593475421343731e-27,-13698.556104815152
0.0042,4200.0,-0.01198218492613389,-0.011981068958197394,5.319467301284822e-7,2.034408687788873e-28,-1.0600225969270016e-26,-13698.018931041803
0.00425,4250.0,-0.012534687644520967,-0.012533545408035767,5.721770703098187e-7,2.40556753212258e-28,-9.038564873820226e-27,-13697.466454591966
0.0043,4300.0,-0.013102553133543322,-0.01310138485138418,6.145731238171816e-7,2.8162907569841456e-28,-1.007840680641796e-26,-13696.898615148617
0.00435,4350.0,-0.013685833057153898,-0.013684638975302558,6.591937203319926e-7,3.3084019200156428e-28,-4.566518565098132e-27,-13696.315361024697
0.0044,4400.0,-0.01428457071669025,-0.014283351103320368,7.060966307437258e-7,3.8538122895812043e-28,-3.838683446466952e-27,-13695.716648896681
0.00445,4450.0,-0.014898801339334702,-0.014897556483848325,7.553384989880285e-7,4.49963501516719e-28,-7.238026835508199e-27,-13695.102443516153
0.0045,4500.0,-0.015528552387271065,-0.015527282599294591,8.069748250713264e-7,5.215744472005396e-28,-1.1219056534536789e-26,-13694.472717400708
0.00455,4550.0,-0.016173843885998775,-0.01617254949433858,8.610599224164476e-7,6.054976169570931e-28,-1.1785717509470001e-26,-13693.827450505662
0.0046,4600.0,-0.016834688770401333,-0.016833370121951744,9.176469259876256e-7,6.985240934968636e-28,-3.009368767950075e-27,-13693.16662987805
0.00465,4650.0,-0.017511093246918113,-0.017509750705567963,9.767877762617103e-7,8.065541066285179e-28,-1.2570523176600111e-26,-13692.490249294433
0.0047,4700.0,-0.018203057170320523,-0.01820169111579189,1.0385332524990805e-6,9.261923966814835e-28,-5.908161423701124e-27,-13691.79830888421
0.00475,4750.0,-0.018910574433354827,-0.01890918526006155,1.1029329833063658e-6,1.064001440916519e-27,-1.2992354219715403e-26,-13691.090814739939
0.0048,4800.0,-0.019633633367682438,-0.01963222148354106,1.1700355047864524e-6,1.216412314186e-27,-6.205044295000394e-27,-13690.36777851646
0.00485,4850.0,-0.02037221715432101,-0.020370782979566373,1.2398882964509558e-6,1.3906964506381603e-27,-7.881681867386146e-27,-13689.629217020436
0.0049,4900.0,-0.02112630424197214,-0.021124848207952,1.3125378630037428e-6,1.5831265811073776e-27,-7.700034318007364e-27,-13688.875151792048
0.00495,4950.0,-0.021895868771407537,-0.021894391319395502,1.3880297940142475e-6,1.80173102981841e-27,-6.946253071165399e-27,-13688.105608680606
0.005,5000.0,-0.022680881004282106,-0.02267938258425192,1.4664088667646074e-6,2.0426421381674415e-27,-7.449016312775709e-27,-13687.32061741575
0.00505,5050.0,-0.02348130775453912,-0.023479788824002035,1.547719127554166e-6,2.3146944379206398e-27,-1.6862074412422144e-26,-13686.520211175997
0.0051,5100.0,-0.02429711282078695,-0.024295573843578708,1.6320040126573636e-6,2.6139004783917716e-27,-7.749510687906694e-27,-13685.704426156422
0.00515,5150.0,-0.025128257417832082,-0.025126698862960997,1.71930644770613e-6,2.949951946877634e-27,-1.4731225521952107e-26,-13684.873301137039
0.0052,5200.0,-0.025974700605783208,-0.025973122946268617,1.8096689838374207e-6,3.318764884383966e-27,-7.889373261212051e-27,-13684.026877053731
