t_s,t_us,x1_um,x2_um,Vout_mV,ER_J,energy_residual_J,tip_overlap_nm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13710.0
5.0e-5,50.0,-5.870269962662399e-12,-5.798290441473342e-12,9.828834468207858e-24,4.19653325801332e-45,3.2307941321189675e-27,-13709.999999994203
0.0001,100.0,-1.8747276868768616e-10,-1.8628749674104548e-10,5.842464208691679e-21,5.24304271968489e-44,3.1375224611374412e-27,-13709.999999813714
0.00015,150.0,-1.4206030116173674e-9,-1.4145903459794108e-9,2.388110720816687e-19,1.214925403634925e-41,8.40917111650117e-28,-13709.99999858541
0.0002,200.0,-5.972678434948163e-9,-5.9537195748825224e-9,3.272450128845416e-18,1.1646140961786223e-41,-1.1403361900399911e-27,-13709.99999404628
0.00025,250.0,-1.818208392942185e-8,-1.8135974307734514e-8,2.4752574828336604e-17,7.829301494062095e-40,-1.9869127972246963e-27,-13709.999981864026
0.0003,300.0,-4.51227235434028e-8,-4.5027548989723746e-8,1.2873379062764395e-16,2.759312520968589e-40,1.3466179938848796e-27,-13709.99995497245
0.00035,350.0,-9.725130429367942e-8,-9.707588020167275e-8,5.173303989353851e-16,1.2192858387563174e-38,3.1445873614491688e-27,-13709.99990292412
0.0004,400.0,-1.890349629233353e-7,-1.8873734192469726e-7,1.7218421296037656e-15,2.610369439893451e-39,-2.5763843781580687e-27,-13709.99981126266
0.00045,450.0,-3.3955694646040046e-7,-3.390829999868324e-7,4.963059958250203e-15,9.357088216264007e-38,-6.647855934939511e-29,-13709.999660917001
0.0005,500.0,-5.730981646694993e-7,-5.723802430740785e-7,1.2771954632371763e-14,1.4899225099140135e-38,7.38703170821798e-27,-13709.999427619758
0.00055,550.0,-9.196925410921604e-7,-9.18648217191736e-7,2.9986015647640324e-14,4.712023824157162e-37,1.6901867548120816e-27,-13709.999081351783
0.0006,600.0,-1.4156542172035474e-6,-1.41418511703285e-6,6.526459564769626e-14,6.167750468121308e-38,4.439819795315074e-27,-13709.998585814883
0.00065,650.0,-2.104074779252276e-6,-2.102065504331476e-6,1.3328844136168881e-13,1.7943895732564212e-36,3.753781714586403e-27,-13709.997897934498
0.0007,700.0,-3.0352888238409404e-6,-3.032605967790991e-6,2.5784265338826175e-13,2.043311042888602e-37,5.886380084705906e-28,-13709.996967394034
0.00075,750.0,-4.267306297431061e-6,-4.263797560659803e-6,4.759913411197752e-13,5.5997872781018114e-36,3.101833438067144e-27,-13709.995736202442
0.0008,800.0,-5.866210208090968e-6,-5.861703612374628e-6,8.436001531848728e-13,5.746089962740594e-37,-1.684092131283273e-27,-13709.994138296388
0.00085,850.0,-7.906518428524856e-6,-7.900821634606278e-6,1.4424397549817531e-12,1.5053556325144358e-35,5.71079757779957e-27,-13709.992099178367
0.0009,900.0,-1.047150848702501e-5,-1.0464408216016383e-5,2.389184787101414e-12,1.425066085458086e-36,7.079888942937049e-27,-13709.989535591785
0.00095,950.0,-1.3653504362827725e-5,-1.3644765923919494e-5,3.8465338426160284e-12,3.6032314475764335e-35,-1.1394549242044242e-27,-13709.986355234078
0.001,1000.0,-1.7554124492100532e-5,-1.7543491416320618e-5,6.0368294232193115e-12,3.2004532994913424e-36,7.507214813142322e-29,-13709.982456508586
0.00105,1050.0,-2.228449030726798e-5,-2.2271684089160814e-5,9.258346644978586e-12,7.858887154991214e-35,3.925725685452205e-27,-13709.977728315913
0.0011,1100.0,-2.7965394831885388e-5,-2.7950114777818653e-5,1.3904710157709564e-11,6.637667399630697e-36,8.82210063383475e-27,-13709.972049885224
0.00115,1150.0,-3.472743096393232e-5,-3.47093541482754e-5,2.0487482075617548e-11,1.5883321789634574e-34,1.3669567002514523e-27,-13709.965290645852
0.0012,1200.0,-4.271107928724729e-5,-4.268986061410637e-5,2.966249321380385e-11,1.2916765925147096e-35,1.963341444639783e-27,-13709.957310139387
0.00125,1250.0,-5.206675535327395e-5,-5.204202772442281e-5,4.2259742050198946e-11,3.0125809901708457e-34,4.305393619941497e-27,-13709.947957972277
0.0013,1300.0,-6.295481658708695e-5,-6.292619117278186e-5,5.93176017402107e-11,2.3933000908132383e-35,-8.584526617092404e-28,-13709.93707380883
0.00135,1350.0,-7.554552906358032e-5,-7.551259567632428e-5,8.212082269605928e-11,5.4158657692909715e-34,8.62670682257844e-28,-13709.924487404325
0.0014,1400.0,-9.001899461416237e-5,-8.998132218115188e-5,1.122433235858445e-10,4.28890506625611e-35,-9.381195294970108e-28,-13709.91001867782
0.00145,1450.0,-0.00010656503880340566,-0.00010652217593718886,1.51594774153362e-10,9.303907197030413e-34,4.315621806184273e-27,-13709.893477824064
0.0015,1500.0,-0.00012538306052999016,-0.00012533453619216803,2.0247233504688735e-10,7.572004496344849e-35,4.144396578667452e-27,-13709.874665463809
0.00155,1550.0,-0.000146681844070674,-0.00014662716832769098,2.6761589605241364e-10,1.5381707055122059e-33,1.4114121173713018e-27,-13709.853372831672
0.0016,1600.0,-0.00017067933459896905,-0.00017061799946397103,3.502687100827712e-10,1.3455700520159222e-34,-9.766923387987918e-30,-13709.829382000538
0.00165,1650.0,-0.0001976023782582431,-0.00019753385861764425,4.54240893110295e-10,2.463556160051275e-33,3.43839428788223e-27,-13709.802466141384
0.0017,1700.0,-0.0002276864280779424,-0.00022761018269588855,5.839784224840411e-10,2.458486612323648e-34,4.414961913689326e-27,-13709.772389817306
0.00175,1750.0,-0.00026117521705148854,-0.0002610906896505077,7.446339919435236e-10,3.848238606639067e-33,1.1543021640121038e-27,-13709.73890931035
0.0018,1800.0,-0.00029832039989787645,-0.00029822702030821553,9.4214333893428e-10,4.684546430662536e-34,-2.0140926977836535e-27,-13709.701772979692
0.00185,1850.0,-0.0003393811650391287,-0.00033927835041477796,1.1833020195499897e-9,5.905860878718647e-33,-1.2434740204399453e-27,-13709.660721649587
0.0019,1900.0,-0.0003846238185220568,-0.0003845109746153439,1.475847521854138e-9,9.318430046608553e-34,1.999965207195471e-27,-13709.615489025386
0.00195,1950.0,-0.0004343213416020824,-0.0004341978640946524,1.8285400121779548e-9,8.97839359220313e-33,-3.44531309792021e-27,-13709.565802135905
0.002,2000.0,-0.0004887529238945845,-0.0004886181997761152,2.2512482120651682e-9,1.9126742123742527e-33,6.325912360155107e-27,-13709.511381800225
0.00205,2050.0,-0.0005482034739668505,-0.0005480568829591976,2.7550317007183438e-9,1.3643931972974237e-32,-1.3542992998255269e-27,-13709.451943117041
0.0021,2100.0,-0.0006129631094216425,-0.0006128040254393387,3.3522281126103795e-9,3.981147492633998e-33,3.864634341354349e-28,-13709.387195974561
0.00215,2150.0,-0.0006833266284685563,-0.0006831544211133408,4.056534190218825e-9,2.0916153587094496e-32,-3.279632205930003e-27,-13709.316845578887
0.0022,2200.0,-0.0007595929651468171,-0.0007594070012267423,4.883091525465088e-9,8.268531687158538e-33,-9.415987053905859e-29,-13709.240592998774
0.00225,2250.0,-0.0008420646302853596,-0.0008418642753562761,5.848563270916725e-9,3.2600099595370837e-32,3.473578358747653e-28,-13709.158135724645
0.0023,2300.0,-0.0009310471404423367,-0.0009308317603620036,6.971215425901998e-9,1.6936657635678903e-32,-2.8113918845000657e-27,-13709.069168239637
0.00235,2350.0,-0.0010268484369656574,-0.001026617399458437,8.270985954040954e-9,5.190391770282863e-32,-1.80928956027582e-27,-13708.973382600541
