t_s,t_us,x1_um,x2_um,Vout_mV,ER_J,energy_residual_J,tip_overlap_nm
0.0,0.0,13.860000000000001,13.680000000000001,0.0,0.0,0.0,-29.999999999999712
2.5e-7,0.25,13.860992524048434,13.681586215680813,1.5828042966139089,4.2135417942105067e-19,3.4363389527175126e-21,-28.41378431918874
5.0e-7,0.5,13.861970340610414,13.684235200462846,4.102526604479326,5.313757647889465e-18,2.032770606929119e-21,-25.76479953715582
7.5e-7,0.75,13.862933850011814,13.687791560092124,7.378610713970398,2.5078752768141238e-17,3.0063629956975996e-21,-22.208439907877217
1.0e-6,1.0,13.863883493002538,13.69211078118531,11.264569268592123,7.704737865679709e-17,5.189432481486317e-21,-17.889218814690615
1.25e-6,1.25,13.864819750036657,13.697056234135385,15.637612650853894,1.8512044430550496e-16,6.875606838691028e-21,-12.943765864616248
1.5e-6,1.5,13.865743145620634,13.702494792972136,20.387683486114376,3.78790944757752e-16,1.6666095566235923e-20,-7.5052070278659775
1.75e-6,1.75,13.866654247899698,13.708294422680826,25.405334427525087,6.916235501866376e-16,7.701028884648813e-21,-1.7055773191752788
2.0e-6,2.0,13.867553688501005,13.714315768623713,30.4719985655007,1.1580650382049955e-15,8.396173215303765e-21,4.315768623712422
2.25e-6,2.25,13.868442689505184,13.720244371918769,35.02781446428051,1.8001829062727796e-15,7.252283402338796e-21,10.244371918767788
2.5e-6,2.5,13.869323140323385,13.725574384614186,38.49460091711054,2.6100575604019208e-15,6.12659237064356e-21,15.574384614184167
2.75e-6,2.75,13.870196711367752,13.72988977693326,40.48377179157445,3.5446446842418245e-15,1.5609925672292788e-20,19.889776933260674
3.0e-6,3.0,13.871064325554533,13.733017313351704,40.92420984597709,4.536858822938052e-15,-2.399454501620852e-20,23.017313351703375
3.25e-6,3.25,13.871926113511986,13.73502280304697,40.024501569665475,5.516736788317941e-15,-2.732470307651312e-20,25.022803046969248
3.5e-6,3.5,13.872781684233452,13.73611303802247,38.13496031050356,6.429089198282949e-15,-4.055006737562013e-20,26.11303802246895
3.75e-6,3.75,13.873630437680237,13.736533019983789,35.61888013025029,7.240556719314608e-15,-4.225602722260845e-20,26.533019983788222
4.0e-6,4.0,13.874471769484403,13.736503757150151,32.78157113041198,7.937836941449237e-15,-4.4935656198754106e-20,26.503757150149774
4.25e-6,4.25,13.875305159904652,13.736199544878229,29.84991092385784,8.522015141108565e-15,-4.255629216937806e-20,26.199544878228213
4.5e-6,4.5,13.876130192829747,13.735747671167347,26.978662154278467,9.002669578843435e-15,-4.3783085028325165e-20,25.74767116734602
4.75e-6,4.75,13.876946545329405,13.735236557287372,24.265626381791034,9.393315857488886e-15,-4.2653744385294466e-20,25.236557287371742
5.0e-6,5.0,13.877753969693163,13.73472511808834,21.7668691871188,9.708422062691422e-15,-4.258552944974012e-20,24.725118088339403
5.25e-6,5.25,13.878552276646792,13.734250713022174,19.509102225709928,9.961696598146207e-15,-4.2394856240610975e-20,24.250713022172956
5.5e-6,5.5,13.879341321965537,13.733835210732837,17.498938235120914,1.0165254209412469e-14,-4.3188975478056024e-20,23.835210732836092
5.75e-6,5.75,13.880120996282773,13.73348944245552,15.729589217414311,1.0329329280976638e-14,-4.276143134570408e-20,23.489442455519384
6.0e-6,6.0,13.880891217294923,13.733216462746354,14.185686094808545,1.0462300513300349e-14,-4.1925743051303973e-20,23.216462746352754
6.25e-6,6.25,13.881651923623266,13.733013972845619,12.846769231948793,1.0570872863208267e-14,-4.123914598438088e-20,23.01397284561745
6.5e-6,6.5,13.88240306981346,13.73287615823268,11.689837068346229,1.0660322329583271e-14,-4.073064316516244e-20,22.876158232678616
6.75e-6,6.75,13.883144622161906,13.732795102332902,10.6912078703064,1.0734749498197247e-14,-4.0437934319418043e-20,22.795102332901987
7.0e-6,7.0,13.883876555205953,13.732761875492237,9.82785877920288,1.0797313685598995e-14,-4.0377438659189434e-20,22.7618754922353
7.25e-6,7.25,13.88459884880323,13.732767359588838,9.078350269881547,1.0850435445562129e-14,-4.02838509276973e-20,22.767359588837703
7.5e-6,7.5,13.885311485765934,13.732802847971135,8.423413091956391,1.0895964436169137e-14,-4.0314697332844713e-20,22.80284797113415
7.75e-6,7.75,13.886014450024874,13.732860451656805,7.846259639741228,1.0935314527689942e-14,-4.025093818660564e-20,22.860451656803775
8.0e-6,8.0,13.886707725288598,13.73293334059394,7.332675095059434,1.0969570223971204e-14,-4.0169609530285486e-20,22.933340593938286
8.25e-6,8.25,13.887391294147196,13.733015849343776,6.870940426048189,1.0999569105892585e-14,-4.01283442037116e-20,23.01584934377407
8.5e-6,8.5,13.888065137555653,13.733103477231943,6.451636212317577,1.1025964817384119e-14,-4.013993281022301e-20,23.103477231941817
8.75e-6,8.75,13.888729234622236,13.733192812376746,6.067371679400058,1.1049274578205296e-14,-4.015190107971089e-20,23.19281237674482
9.0e-6,9.0,13.889383562625689,13.733281406657802,5.712477011607789,1.1069914574139303e-14,-4.013281291772395e-20,23.281406657802346
9.25e-6,9.25,13.890028097189376,13.733367624865123,5.3826894185047705,1.1088225974506596e-14,-4.0138074885019035e-20,23.36762486512127
9.5e-6,9.5,13.890662812550064,13.7334504865464,5.074855384252161,1.1104493801699019e-14,-4.0159935394527737e-20,23.45048654639981
