t_s,t_us,x1_um,x2_um,Vout_mV,ER_J,energy_residual_J,tip_overlap_nm
0.0,0.0,13.860000000000001,13.680000000000001,0.0,0.0,0.0,-29.999999999999712
2.5e-7,0.25,13.860992524048434,13.681586215681254,1.5828042920836665,4.2135442698367416e-19,1.5912065444822413e-20,-28.413784318746586
5.0e-7,0.5,13.861970340610414,13.684235200465011,4.102526605682053,5.313758124196687e-18,1.5427157278574293e-20,-25.764799534989113
7.5e-7,0.75,13.862933850011839,13.687791560082864,7.378610672568328,2.5078743406231865e-17,3.70591464805381e-20,-22.20843991713698
1.0e-6,1.0,13.863883493002545,13.692110781181238,11.264569242233856,7.704736974801144e-17,3.675705046770061e-20,-17.889218818763148
1.25e-6,1.25,13.864819750036599,13.69705623415056,15.637612638313565,1.8512042879480647e-16,4.246656528723915e-20,-12.943765849440805
1.5e-6,1.5,13.865743145620694,13.702494792956257,20.387683577080246,3.7879098336502746e-16,4.973519964306329e-20,-7.505207043744457
1.75e-6,1.75,13.866654247899808,13.708294422645128,25.405335691914082,6.916236240744287e-16,3.007804240784906e-20,-1.7055773548726354
2.0e-6,2.0,13.867553688501197,13.714315768556885,30.471999729440242,1.1580651528655057e-15,1.5660075920309516e-20,4.315768556883216
2.25e-6,2.25,13.868442689505509,13.720244371812736,35.02781547802304,1.8001830637054093e-15,3.1465918189774495e-21,10.24437181273451
2.5e-6,2.5,13.869323140323718,13.725574384506182,38.494601845280606,2.61005776063582e-15,7.356341754045686e-21,15.57438450618069
2.75e-6,2.75,13.870196711368104,13.72988977682269,40.48377264406808,3.5446449256337537e-15,-4.882112063754601e-21,19.88977682268899
3.0e-6,3.0,13.871064325554693,13.733017313305648,40.92421070709427,4.536859103922689e-15,1.938363994903334e-20,23.01731330564681
3.25e-6,3.25,13.87192611351232,13.73502280294131,40.02450229746135,5.516737106289962e-15,-1.1007924590488631e-19,25.022802941310356
3.5e-6,3.5,13.872781684233596,13.736113037970377,38.134961041947555,6.429089550680589e-15,-1.4365638104948902e-19,26.11303797037642
3.75e-6,3.75,13.87363043768028,13.736533019953573,35.61888082862454,7.240557104476035e-15,-1.644654858384985e-19,26.53301995357117
4.0e-6,4.0,13.874471769484417,13.736503757121461,32.781571776176165,7.937837353091525e-15,-1.6286783818414062e-19,26.50375712146077
4.25e-6,4.25,13.875305159904622,13.736199544847565,29.8499115149707,8.52201557807211e-15,-1.6895984729659608e-19,26.199544847563928
4.5e-6,4.5,13.876130192829637,13.735747671150257,26.978662713850355,9.00267003246129e-15,-1.4989191569174523e-19,25.747671150256284
4.75e-6,4.75,13.87694654532926,13.73523655726528,24.265626891715158,9.393316330169508e-15,-1.514529299078421e-19,25.236557265279426
5.0e-6,5.0,13.877753969692938,13.734725118077893,21.766869669733516,9.708422548213267e-15,-1.5108109121986678e-19,24.725118077892102
5.25e-6,5.25,13.878552276646522,13.734250713008416,19.50910266577488,9.961697095888673e-15,-1.4948767155703829e-19,24.250713008415445
5.5e-6,5.5,13.879341321965217,13.733835210720779,17.498938641316702,1.016525471667338e-14,-1.4877753538557438e-19,23.83521072077773
5.75e-6,5.75,13.880120996282384,13.733489442456934,15.729589612211436,1.03293298058988e-14,-1.6290677544965457e-19,23.489442456932235
6.0e-6,6.0,13.880891217294483,13.733216462746785,14.185686454163665,1.0462301034489216e-14,-1.4422882396070553e-19,23.216462746784742
6.25e-6,6.25,13.881651923622778,13.73301397284439,12.846769561113826,1.0570873391824627e-14,-1.4426009849644342e-19,23.013972844389254
6.5e-6,6.5,13.882403069812908,13.732876158237577,11.689837378730047,1.066032286464793e-14,-1.4337840797399286e-19,22.87615823757616
6.75e-6,6.75,13.883144622161305,13.732795102338148,10.691208156904027,1.0734750034709587e-14,-1.4274691373744544e-19,22.795102338146815
7.0e-6,7.0,13.88387655520532,13.732761875495642,9.827859041467878,1.0797314226305376e-14,-1.4210442543045189e-19,22.76187549564207
7.25e-6,7.25,13.88459884880254,13.732767359593945,9.078350512385718,1.08504359900036e-14,-1.413566234605484e-19,22.767359593943617
7.5e-6,7.5,13.885311485765207,13.732802847974947,8.423413315189375,1.0895964981285637e-14,-1.4220886829189664e-19,22.8028479749458
7.75e-6,7.75,13.886014450024097,13.732860451661145,7.846259842365145,1.093531507778581e-14,-1.4032520355370294e-19,22.860451661143973
8.0e-6,8.0,13.886707725287785,13.732933340597029,7.332675283667777,1.0969570774335969e-14,-1.4081962491546237e-19,22.933340597028263
8.25e-6,8.25,13.887391294146347,13.733015849344424,6.870940595339149,1.0999569657024088e-14,-1.4105991280547335e-19,23.0158493444229
8.5e-6,8.5,13.888065137554758,13.733103477231449,6.451636365999379,1.1025965370208102e-14,-1.4090486490823368e-19,23.103477231448842
8.75e-6,8.75,13.888729234621293,13.733192812377387,6.067371823126713,1.1049275132209507e-14,-1.408727421892505e-19,23.19281237738687
9.0e-6,9.0,13.889383562624703,13.73328140665876,5.712477145329569,1.1069915128667907e-14,-1.4080972459750587e-19,23.28140665875949
9.25e-6,9.25,13.890028097188356,13.73336762486514,5.382689540200644,1.1088226529768733e-14,-1.407176167438284e-19,23.367624865139906
9.5e-6,9.5,13.890662812549001,13.733450486549074,5.074855500581292,1.1104494357522251e-14,-1.4068141951409352e-19,23.450486549073045
9.75e-6,9.75,13.891287681869786,13.733529514110662,4.78666395851181,1.1118960991944115e-14,-1.405803483829972e-19,23.529514110660603
1.0e-5,10.0,13.891902677559985,13.73360459600387,4.516418399747559,1.1131835725059072e-14,-1.4058848124862922e-19,23.60459600386948
1.025e-5,10.25,13.892507771575406,13.733675870036409,4.262850724519594,1.1143301462990487e-14,-1.4055909533425084e-19,23.67587003640824
1.05e-5,10.5,13.893102935684233,13.733743628432467,4.024975489108434,1.1153519433961504e-14,-1.4055027745967406e-19,23.74362843246681
1.075e-5,10.75,13.893688141690431,13.733808244251163,3.8019808493838783,1.1162632524468614e-14,-1.405318985404389e-19,23.808244251162563
1.1e-5,11.0,13.894263361612955,13.733870117286688,3.5931511086174934,1.1170767709002175e-14,-1.405063868040076e-19,23.87011728668827
1.125e-5,11.25,13.89482856782311,13.73392963663237,3.3978150171600667,1.1178037895663222e-14,-1.40481933277149e-19,23.929636632369633
1.15e-5,11.5,13.895383733144593,13.733987156925505,3.2153142818573954,1.1184543404265987e-14,-1.4046911359324156e-19,23.9871569255043
1.175e-5,11.75,13.895928830922024,13.734042985257947,3.044987129069155,1.1190373216843917e-14,-1.4047682640621876e-19,24.042985257946597
1.2e-5,12.0,13.896463835064024,13.734097376003925,2.88616249118408,1.1195606084974773e-14,-1.4051168592980676e-19,24.09737600392443
1.225e-5,12.25,13.896988720066737,13.73415053119729,2.7381611860798594,1.1200311541778076e-14,-1.4050840951909923e-19,24.150531197289148
1.25e-5,12.5,13.89750346102297,13.734202604489504,2.600301216715668,1.1204550839280859e-14,-1.4047795731721249e-19,24.20260448950229
1.275e-5,12.75,13.89800803362141,13.734253707188309,2.4719050968243006,1.120837782579216e-14,-1.4038696744983165e-19,24.253707188307942
1.3e-5,13.0,13.898502414139617,13.734303915138208,2.352307595159161,1.1211839756966747e-14,-1.4040339473980907e-19,24.303915138206804
1.325e-5,13.25,13.898986579433197,13.734353275882317,2.240863158976823,1.1214978052843809e-14,-1.4054655353133043e-19,24.35327588231626
1.35e-5,13.5,13.899460506924086,13.734401815067816,2.13695192799001,1.1217828991849583e-14,-1.4055431965868306e-19,24.40181506781478
1.375e-5,13.75,13.899924174588225,13.73444954243491,2.0399846937621526,1.1220424328792482e-14,-1.4054688472669288e-19,24.449542434908714
1.4e-5,14.0,13.9003775609446,13.73449645667388,1.9494061917591812,1.122279186342203e-14,-1.4055646354280973e-19,24.496456673878445
1.425e-5,14.25,13.900820645045583,13.734542549412497,1.8646970934535798,1.122495594502805e-14,-1.4055834570182072e-19,24.542549412496168
1.45e-5,14.5,13.901253406469024,13.73458780831649,1.7853747773033937,1.1226937916769664e-14,-1.4056140723943944e-19,24.587808316490023
1.475e-5,14.75,13.901675825312141,13.734632219349267,1.7109930816798025,1.122875650591487e-14,-1.405585169540569e-19,24.632219349265387
1.5e-5,15.0,13.90208788218697,13.734675768389517,1.6411412874476057,1.1230428170773194e-14,-1.4055919226947888e-19,24.675768389515863
1.525e-5,15.25,13.90248955821735,13.734718442259934,1.5754425124716223,1.1231967395440093e-14,-1.4056505038842637e-19,24.718442259932957
1.55e-5,15.5,13.90288083503708,13.734760229332247,1.5135517355327641,1.1233386950168856e-14,-1.4055289794200523e-19,24.76022933224677
1.575e-5,15.75,13.903261694789036,13.734801119814177,1.4551535769014892,1.1234698116819104e-14,-1.4055672203675115e-19,24.801119814177063
1.6e-5,16.0,13.903632120125119,13.734841105790784,1.3999600011535303,1.1235910880032925e-14,-1.4055627451911507e-19,24.841105790782006
1.625e-5,16.25,13.903992094206679,13.73488018112699,1.3477080227292266,1.1237034095634955e-14,-1.405486683348887e-19,24.880181126988415
1.65e-5,16.5,13.904341600705342,13.734918341273527,1.2981574725247218,1.123807563440344e-14,-1.4055285916791402e-19,24.91834127352632
1.675e-5,16.75,13.904680623804081,13.734955583024751,1.2510889067225759,1.123904250556241e-14,-1.405481771964e-19,24.955583024750407
1.7e-5,17.0,13.905009148198403,13.734991904274176,1.2063016614965407,1.1239940964805164e-14,-1.405456746519296e-19,24.991904274176132
1.725e-5,17.25,13.905327159097572,13.735027303770602,1.163612071385912,1.1240776606239587e-14,-1.4054920309423002e-19,25.027303770602003
1.75e-5,17.5,13.905634642225847,13.735061780902486,1.1228518678456256,1.1241554442706546e-14,-1.4054471014641066e-19,25.06178090248548
1.775e-5,17.75,13.905931583823635,13.73509533551561,1.0838667283194847,1.1242278975698406e-14,-1.4054463259822824e-19,25.095335515608966
1.8e-5,18.0,13.90621797064858,13.735127967756696,1.0465149901269875,1.1242954255324703e-14,-1.4054371494473619e-19,25.127967756695504
1.825e-5,18.25,13.90649378997658,13.735159677956943,1.0106665039311435,1.1243583933230653e-14,-1.4054105245713953e-19,25.15967795694176
1.85e-5,18.5,13.9067590296027,13.735190466540692,0.9762016055186707,1.1244171308547166e-14,-1.405428150627026e-19,25.190466540690906
1.875e-5,18.75,13.907013677842002,13.735220333957152,0.9430102077388225,1.1244719368042939e-14,-1.4053989408116453e-19,25.220333957151624
1.9e-5,19.0,13.907257723530284,13.735249280641128,0.9109909847412418,1.1245230821533e-14,-1.4053943363883137e-19,25.24928064112625
1.925e-5,19.25,13.907491156024763,13.735277306980358,0.8800506413726485,1.1245708132781534e-14,-1.40540889282839e-19,25.27730698035598
1.95e-5,19.5,13.907713965204696,13.735304413302812,0.8501032585590538,1.1246153546822449e-14,-1.4053728813911756e-19,25.30441330281027
1.975e-5,19.75,13.90792614147189,13.735330599871734,0.8210696967917444,1.1246569114057014e-14,-1.405379521454296e-19,25.330599871733412
2.0e-5,20.0,13.908127675751242,13.735355866882243,0.7928770579341995,1.1246956711574721e-14,-1.4053689716703116e-19,25.355866882241138
2.025e-5,20.25,13.908318559491178,13.735380214471038,0.7654581949674785,1.1247318061856345e-14,-1.405368987826183e-19,25.380214471036094
2.05e-5,20.5,13.908498784664063,13.735403642718847,0.7387512607333135,1.1247654749599447e-14,-1.4053821225495815e-19,25.403642718845607
2.075e-5,20.75,13.908668343766589,13.735426151660443,0.7126992975563479,1.1247968236384148e-14,-1.4053635917651557e-19,25.42615166044207
2.1e-5,21.0,13.908827229820112,13.735447741293248,0.6872498557712807,1.1248259873863071e-14,-1.4053695694375511e-19,25.447741293247113
2.125e-5,21.25,13.908975436370975,13.735468411581817,0.6623546444754759,1.1248530915531572e-14,-1.405340634271983e-19,25.468411581815797
2.15e-5,21.5,13.909112957490787,13.735488162468709,0.637969209227968,1.1248782526892436e-14,-1.4053491968837927e-19,25.48816246870743
2.175e-5,21.75,13.909239787776698,13.735506993876314,0.6140526321911918,1.1249015795028597e-14,-1.4053466604119925e-19,25.506993876313466
2.2e-5,22.0,13.909355922351622,13.735524905714346,0.5905672581029008,1.1249231736533372e-14,-1.4053251084796264e-19,25.524905714345273
2.225e-5,22.25,13.909461356864433,13.73554189788232,0.567478437380995,1.124943130510081e-14,-1.4053317323868754e-19,25.54189788231764
2.25e-5,22.5,13.909556087490158,13.735557970272087,0.5447542919568256,1.1249615397999797e-14,-1.4053264009493335e-19,25.557970272086486
2.275e-5,22.75,13.909640110930134,13.735573122771822,0.5223654963159191,1.124978486187164e-14,-1.4053336387796934e-19,25.57312277182143
2.3e-5,23.0,13.90971342441211,13.735587355264846,0.5002850766117342,1.1249940498204654e-14,-1.4053109559363335e-19,25.587355264845385
2.325e-5,23.25,13.909776025690363,13.735600667633664,0.4784882252660093,1.1250083067641478e-14,-1.405333671091436e-19,25.60066763366302
2.35e-5,23.5,13.909827913045767,13.735613059758025,0.45695212878316777,1.1250213294655198e-14,-1.4053122807177833e-19,25.613059758024455
2.375e-5,23.75,13.90986908528582,13.735624531517422,0.43565581009150656,1.125033187076971e-14,-1.4053331217918105e-19,25.62453151742062
2.4e-5,24.0,13.909899541744682,13.735635082789866,0.4145799830938512,1.1250439458459482e-14,-1.4053226204754402e-19,25.635082789865223
2.425e-5,24.25,13.909919282283154,13.735644713452865,0.39370691714505923,1.1250536693627226e-14,-1.4053353028344413e-19,25.64471345286543
2.45e-5,24.5,13.909928307288608,13.735653423383178,0.3730203153965901,1.1250624188844794e-14,-1.4053069977478555e-19,25.653423383177955
2.475e-5,24.75,13.909926617674966,13.73566121245635,0.35250519726764656,1.1250702535199994e-14,-1.4053697471521359e-19,25.661212456348245
2.5e-5,25.0,13.909914214882564,13.735668080548244,0.33214780036493774,1.1250772305066738e-14,-1.4053476297642729e-19,25.668080548243626
2.525e-5,25.25,13.909891100878047,13.73567402753231,0.31193547291864787,1.1250834053515072e-14,-1.405335480549026e-19,25.674027532308898
2.55e-5,25.5,13.909857278154199,13.735679053282244,0.29185659722880286,1.1250888320399104e-14,-1.4053462888269517e-19,25.67905328224298
2.575e-5,25.75,13.90981274972977,13.735683157670556,0.27190049874381195,1.1250935631821678e-14,-1.4053332187270385e-19,25.68315767055556
2.6e-5,26.0,13.909757519149265,13.735686340568655,0.25205737553869223,1.1250976501473992e-14,-1.405369230164253e-19,25.686340568655172
2.625e-5,26.25,13.909691590482696,13.735688601847691,0.23231822716593828,1.125101143207774e-14,-1.405339341802276e-19,25.688601847691167
2.65e-5,26.5,13.90961496832532,13.735689941376847,0.2126747909680333,1.1251040916243479e-14,-1.405382381043523e-19,25.689941376846082
2.675e-5,26.75,13.909527657797346,13.73569035902618,0.193119485086171,1.1251065437860156e-14,-1.405348970701594e-19,25.690359026178285
2.7e-5,27.0,13.909429664543596,13.735689854662875,0.17364535128192946,1.1251085472557532e-14,-1.4053835442662593e-19,25.689854662873017
2.725e-5,27.25,13.909320994733177,13.735688428155406,0.15424600906083075,1.125110148899435e-14,-1.4053666936924528e-19,25.688428155404686
