t_s,t_us,x1_um,x2_um,Vout_mV,ER_J,energy_residual_J,tip_overlap_nm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13710.0
6.25e-5,62.5,-1.446896719733539e-11,-1.432489091986223e-11,4.9927714026205994e-23,-4.3074091956782006e-45,-1.4319504085949567e-30,-13709.999999985675
0.000125,125.0,-4.6183973259282407e-10,-4.594967589273991e-10,2.948794922067231e-20,1.0038020806409044e-42,2.8672823836731514e-27,-13709.999999540503
0.0001875,187.5,-3.497332521709025e-9,-3.4854888363851173e-9,1.1886624568089118e-18,4.499541209003776e-41,-2.8071811778959838e-27,-13709.999996514513
0.00025,250.0,-1.469259307431339e-8,-1.4655332773999109e-8,1.6163298305434917e-17,5.11249621756869e-40,-1.5524063820952696e-27,-13709.999985344668
0.0003125,312.5,-4.4688204527673384e-8,-4.45977658006116e-8,1.215445495145721e-16,2.6778630659607037e-39,-2.181410195716387e-27,-13709.999955402236
0.000375,375.0,-1.1079488796688652e-7,-1.1060858480074353e-7,6.290331001108637e-16,7.563841069759512e-39,-1.3999464096334241e-27,-13709.999889391416
0.0004375,437.5,-2.3853415250196483e-7,-2.3819146702578823e-7,2.516554655209085e-15,1.0604993040608184e-38,-1.3784381546849348e-27,-13709.999761808534
0.0005,500.0,-4.6310962801587186e-7,-4.625294893528325e-7,8.340017222845122e-15,9.729025884008344e-39,1.7314991013000976e-28,-13709.99953747051
0.0005625,562.5,-8.308008329063148e-7,-8.298790971029986e-7,2.394002779554304e-14,8.737416481817788e-38,4.956656725440738e-27,-13709.999170120904
0.000625,625.0,-1.4002716892974456e-6,-1.3988788334598671e-6,6.135067864643154e-14,5.177100792780925e-37,1.3095568481389621e-27,-13709.998601121166
0.0006875,687.5,-2.2437866973705912e-6,-2.241765739923241e-6,1.434301385773483e-13,1.6545471223315863e-36,6.563794997740637e-27,-13709.997758234262
0.00075,750.0,-3.44832832115646e-6,-3.4454929783108726e-6,3.108197718182264e-13,3.6566261529730166e-36,4.729852787414487e-27,-13709.996554507023
0.0008125,812.5,-5.116609796046523e-6,-5.112742883242394e-6,6.319374444469131e-13,5.958017693269974e-36,4.282243177674148e-27,-13709.994887257119
0.000875,875.0,-7.367978265158101e-6,-7.3628303506205146e-6,1.2167874840974885e-12,6.880696756560092e-36,1.1107955554447557e-27,-13709.992637169651
0.0009375,937.5,-1.033920386409111e-5,-1.0332492180052694e-5,2.235432815617197e-12,4.593246794718989e-36,2.7266094197809842e-27,-13709.989667507822
0.001,1000.0,-1.4185151104727864e-5,-1.4176558720259226e-5,3.9420169690455404e-12,2.0888207216017016e-36,3.835524353030148e-27,-13709.98582344128
0.0010625,1062.5,-1.9079329653314383e-5,-1.9068504911087523e-5,6.705330350601091e-12,1.3029159606248967e-35,5.321173039861628e-27,-13709.980931495089
0.001125,1125.0,-2.5214322347270915e-5,-2.5200878564874842e-5,1.1046551102168282e-11,5.193439680893051e-35,1.306418986815404e-27,-13709.974799121437
0.0011875,1187.5,-3.280208905573435e-5,-3.27856044910226e-5,1.7685432653664227e-11,1.188154172196612e-34,5.861402507475245e-28,-13709.96721439551
0.00125,1250.0,-4.207414574002206e-5,-4.2054163817718316e-5,2.759538303431092e-11,1.9665438265216697e-34,-2.016899634977146e-27,-13709.957945836182
0.0013125,1312.5,-5.3281618821115146e-5,-5.325764861682683e-5,4.206829092308479e-11,2.4852761448078675e-34,1.3182068768912127e-27,-13709.946742351383
0.001375,1375.0,-6.669517570125367e-5,-6.666669267744104e-5,6.27896379294552e-11,2.2891125947525382e-34,6.3911133537204155e-27,-13709.933333307323
0.0014375,1437.5,-8.260483301251685e-5,-8.257127999952569e-5,9.192431009943382e-11,1.2451518510493037e-34,3.678121489694463e-27,-13709.91742872
0.0015,1500.0,-0.00010131964487276468,-0.00010128043328664955,1.3221333989086587e-10,4.7615017287201523e-35,-5.5748640801266006e-27,-13709.898719566714
