position_parameter_m,velocity_parameter_m_s,x1_m,x2_m,v1_m_s,v2_m_s,Q1_N,Q2_N,dissipation_W
-5.5804900335723994e-8,-0.008699458908108533,0.0,-5.5804900335723994e-8,-0.0,-0.008699458908108533,8.308422966154004e-7,1.2297636036877379e-6,1.0698277936968943e-8
-5.5804900335723994e-8,-0.008409476944504916,0.0,-5.5804900335723994e-8,-0.0,-0.008409476944504916,8.031475533948872e-7,1.1887714835648136e-6,9.996946383323203e-9
-5.5804900335723994e-8,-0.008119494980901297,0.0,-5.5804900335723994e-8,-0.0,-0.008119494980901297,7.754528101743738e-7,1.1477793634418887e-6,9.319388780648502e-9
-5.5804900335723994e-8,-0.00782951301729768,0.0,-5.5804900335723994e-8,-0.0,-0.00782951301729768,7.477580669538604e-7,1.1067872433189644e-6,8.665605128944847e-9
-5.5804900335723994e-8,-0.007539531053694062,0.0,-5.5804900335723994e-8,-0.0,-0.007539531053694062,7.20063323733347e-7,1.0657951231960394e-6,8.035595428212227e-9
-5.5804900335723994e-8,-0.007249549090090444,0.0,-5.5804900335723994e-8,-0.0,-0.007249549090090444,6.923685805128336e-7,1.024803003073115e-6,7.429359678450655e-9
-5.5804900335723994e-8,-0.006959567126486826,0.0,-5.5804900335723994e-8,-0.0,-0.006959567126486826,6.646738372923203e-7,9.838108829501904e-7,6.846897879660124e-9
-5.5804900335723994e-8,-0.006669585162883208,0.0,-5.5804900335723994e-8,-0.0,-0.006669585162883208,6.36979094071807e-7,9.428187628272657e-7,6.288210031840634e-9
-5.5804900335723994e-8,-0.006379603199279591,0.0,-5.5804900335723994e-8,-0.0,-0.006379603199279591,6.092843508512936e-7,9.018266427043412e-7,5.753296134992189e-9
-5.5804900335723994e-8,-0.0060896212356759735,0.0,-5.5804900335723994e-8,-0.0,-0.0060896212356759735,5.815896076307803e-7,8.608345225814166e-7,5.242156189114783e-9
-5.5804900335723994e-8,-0.005799639272072356,0.0,-5.5804900335723994e-8,-0.0,-0.005799639272072356,5.53894864410267e-7,8.19842402458492e-7,4.75479019420842e-9
-5.5804900335723994e-8,-0.005509657308468738,0.0,-5.5804900335723994e-8,-0.0,-0.005509657308468738,5.262001211897536e-7,7.788502823355674e-7,4.291198150273099e-9
-5.5804900335723994e-8,-0.00521967534486512,0.0,-5.5804900335723994e-8,-0.0,-0.00521967534486512,4.985053779692403e-7,7.378581622126428e-7,3.85138005730882e-9
-5.5804900335723994e-8,-0.004929693381261502,0.0,-5.5804900335723994e-8,-0.0,-0.004929693381261502,4.7081063474872693e-7,6.968660420897182e-7,3.4353359153155834e-9
-5.5804900335723994e-8,-0.004639711417657884,0.0,-5.5804900335723994e-8,-0.0,-0.004639711417657884,4.431158915282136e-7,6.558739219667936e-7,3.0430657242933886e-9
-5.5804900335723994e-8,-0.0043497294540542665,0.0,-5.5804900335723994e-8,-0.0,-0.0043497294540542665,4.154211483077002e-7,6.148818018438689e-7,2.674569484242236e-9
-5.5804900335723994e-8,-0.004059747490450649,0.0,-5.5804900335723994e-8,-0.0,-0.004059747490450649,3.877264050871869e-7,5.738896817209443e-7,2.3298471951621255e-9
-5.5804900335723994e-8,-0.003769765526847031,0.0,-5.5804900335723994e-8,-0.0,-0.003769765526847031,3.600316618666735e-7,5.328975615980197e-7,2.008898857053057e-9
-5.5804900335723994e-8,-0.003479783563243413,0.0,-5.5804900335723994e-8,-0.0,-0.003479783563243413,3.3233691864616016e-7,4.919054414750952e-7,1.711724469915031e-9
-5.5804900335723994e-8,-0.0031898015996397956,0.0,-5.5804900335723994e-8,-0.0,-0.0031898015996397956,3.046421754256468e-7,4.509133213521706e-7,1.4383240337480472e-9
