cycle,end_time_s,period1_scaled_error,period2_scaled_error,mean_load_power_W
1,0.05,NaN,NaN,4.31509523863178e-19
2,0.1,0.44945442460153995,NaN,2.594729072422439e-16
3,0.15000000000000002,0.6160680382496985,0.8965941434305857,1.6097928393426288e-13
4,0.2,0.536376575809629,0.7960105421022569,4.233444486973921e-13
5,0.25,0.22358130042307456,0.5628463195080078,4.3081633756436104e-13
6,0.30000000000000004,0.011059409804350905,0.22458926946744912,4.307170091648408e-13
7,0.35000000000000003,9.954398056122304e-7,0.011071266987154098,4.3071700005656155e-13
8,0.4,9.93461914955418e-8,9.9401951152156e-7,4.3071699996541835e-13
9,0.45,8.220094466215855e-8,6.783584161063061e-8,4.307170002403801e-13
10,0.5,7.1944269264268e-8,8.708614041008644e-8,4.3071700004281356e-13
