relative_displacement_m,Q1_N,Q2_N
-4.06628469072447e-8,-7.350852818760536e-5,7.350852818760536e-5
-4.052730408422055e-8,-7.326349976031335e-5,7.326349976031335e-5
-4.039176126119641e-8,-7.301847133302134e-5,7.301847133302134e-5
-4.025621843817226e-8,-7.277344290572932e-5,7.277344290572932e-5
-4.012067561514811e-8,-7.25284144784373e-5,7.25284144784373e-5
-3.9985132792123956e-8,-7.228338605114527e-5,7.228338605114527e-5
-3.984958996909981e-8,-7.203835762385326e-5,7.203835762385326e-5
-3.971404714607566e-8,-7.179332919656124e-5,7.179332919656124e-5
-3.957850432305151e-8,-7.154830076926922e-5,7.154830076926922e-5
-3.944296150002736e-8,-7.130327234197721e-5,7.130327234197721e-5
-3.9307418677003216e-8,-7.10582439146852e-5,7.10582439146852e-5
-3.9171875853979066e-8,-7.081321548739318e-5,7.081321548739318e-5
-3.9036333030954915e-8,-7.056818706010115e-5,7.056818706010115e-5
-3.8900790207930764e-8,-7.032315863280913e-5,7.032315863280913e-5
-3.876524738490662e-8,-7.007813020551712e-5,7.007813020551712e-5
-3.862970456188247e-8,-6.98331017782251e-5,6.98331017782251e-5
-3.849416173885832e-8,-6.958807335093309e-5,6.958807335093309e-5
-3.835861891583417e-8,-6.934304492364106e-5,6.934304492364106e-5
-3.8223076092810024e-8,-6.909801649634905e-5,6.909801649634905e-5
-3.8087533269785873e-8,-6.885298806905703e-5,6.885298806905703e-5
-3.795199044676172e-8,-6.860795964176501e-5,6.860795964176501e-5
-3.781644762373757e-8,-6.836293121447298e-5,6.836293121447298e-5
-3.768090480071343e-8,-6.811790278718098e-5,6.811790278718098e-5
-3.754536197768928e-8,-6.787287435988895e-5,6.787287435988895e-5
-3.7409819154665127e-8,-6.762784593259694e-5,6.762784593259694e-5
-3.7274276331640976e-8,-6.738281750530492e-5,6.738281750530492e-5
-3.713873350861683e-8,-6.713778907801291e-5,6.713778907801291e-5
-3.700319068559268e-8,-6.689276065072089e-5,6.689276065072089e-5
-3.686764786256853e-8,-6.664773222342886e-5,6.664773222342886e-5
-3.673210503954438e-8,-6.640270379613684e-5,6.640270379613684e-5
-3.6596562216520236e-8,-6.615767536884483e-5,6.615767536884483e-5
-3.6461019393496085e-8,-6.591264694155282e-5,6.591264694155282e-5
-3.6325476570471934e-8,-6.56676185142608e-5,6.56676185142608e-5
-3.6189933747447784e-8,-6.542259008696877e-5,6.542259008696877e-5
-3.605439092442364e-8,-6.517756165967676e-5,6.517756165967676e-5
-3.591884810139949e-8,-6.493253323238474e-5,6.493253323238474e-5
-3.578330527837534e-8,-6.468750480509272e-5,6.468750480509272e-5
-3.564776245535119e-8,-6.44424763778007e-5,6.44424763778007e-5
-3.5512219632327043e-8,-6.419744795050869e-5,6.419744795050869e-5
-3.537667680930289e-8,-6.395241952321668e-5,6.395241952321668e-5
-3.524113398627874e-8,-6.370739109592465e-5,6.370739109592465e-5
-3.510559116325459e-8,-6.346236266863263e-5,6.346236266863263e-5
-3.497004834023045e-8,-6.321733424134062e-5,6.321733424134062e-5
-3.4834505517206297e-8,-6.29723058140486e-5,6.29723058140486e-5
-3.4698962694182146e-8,-6.272727738675657e-5,6.272727738675657e-5
-3.4563419871157995e-8,-6.248224895946455e-5,6.248224895946455e-5
-3.442787704813385e-8,-6.223722053217255e-5,6.223722053217255e-5
-3.42923342251097e-8,-6.199219210488053e-5,6.199219210488053e-5
-3.415679140208555e-8,-6.174716367758851e-5,6.174716367758851e-5
-3.40212485790614e-8,-6.150213525029649e-5,6.150213525029649e-5
-3.3885705756037255e-8,-6.125710682300448e-5,6.125710682300448e-5
-3.3750162933013104e-8,-6.101207839571246e-5,6.101207839571246e-5
-3.3614620109988954e-8,-6.0767049968420436e-5,6.0767049968420436e-5
-3.34790772869648e-8,-6.052202154112841e-5,6.052202154112841e-5
-3.334353446394066e-8,-6.02769931138364e-5,6.02769931138364e-5
-3.320799164091651e-8,-6.003196468654439e-5,6.003196468654439e-5
-3.307244881789236e-8,-5.9786936259252364e-5,5.9786936259252364e-5
-3.293690599486821e-8,-5.954190783196034e-5,5.954190783196034e-5
-3.280136317184406e-8,-5.929687940466833e-5,5.929687940466833e-5
-3.266582034881991e-8,-5.9051850977376315e-5,5.9051850977376315e-5
-3.253027752579576e-8,-5.880682255008429e-5,5.880682255008429e-5
-3.239473470277161e-8,-5.856179412279227e-5,5.856179412279227e-5
-3.2259191879747467e-8,-5.831676569550026e-5,5.831676569550026e-5
-3.2123649056723316e-8,-5.807173726820824e-5,5.807173726820824e-5
-3.1988106233699165e-8,-5.782670884091622e-5,5.782670884091622e-5
-3.1852563410675014e-8,-5.7581680413624196e-5,5.7581680413624196e-5
-3.171702058765087e-8,-5.733665198633219e-5,5.733665198633219e-5
-3.158147776462672e-8,-5.709162355904017e-5,5.709162355904017e-5
-3.144593494160257e-8,-5.684659513174815e-5,5.684659513174815e-5
-3.131039211857842e-8,-5.660156670445613e-5,5.660156670445613e-5
-3.1174849295554274e-8,-5.635653827716412e-5,5.635653827716412e-5
