position_parameter_m,velocity_parameter_m_s,x1_m,x2_m,v1_m_s,v2_m_s,Q1_N,Q2_N,dissipation_W
-1.3810000000000002e-5,-0.001,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.001,-0.001,2.133589277887743e-6,1.2108394576566231e-5,1.4241983854453972e-8
-1.3810000000000002e-5,-0.0009666666666666667,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0009666666666666667,-0.0009666666666666667,2.062469635291485e-6,1.1704781424014022e-5,1.3308342690661989e-8
-1.3810000000000002e-5,-0.0009333333333333333,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0009333333333333333,-0.0009333333333333333,1.991349992695227e-6,1.1301168271461815e-5,1.2406350379879905e-8
-1.3810000000000002e-5,-0.0009,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0009,-0.0009,1.9202303500989686e-6,1.0897555118909606e-5,1.1536006922107718e-8
-1.3810000000000002e-5,-0.0008666666666666666,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0008666666666666666,-0.0008666666666666666,1.8491107075027107e-6,1.04939419663574e-5,1.0697312317345427e-8
-1.3810000000000002e-5,-0.0008333333333333334,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0008333333333333334,-0.0008333333333333334,1.7779910649064527e-6,1.0090328813805192e-5,9.890266565593039e-9
-1.3810000000000002e-5,-0.0008,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0008,-0.0008,1.7068714223101947e-6,9.686715661252985e-6,9.114869666850542e-9
-1.3810000000000002e-5,-0.0007666666666666667,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0007666666666666667,-0.0007666666666666667,1.6357517797139365e-6,9.283102508700776e-6,8.371121621117946e-9
-1.3810000000000002e-5,-0.0007333333333333333,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0007333333333333333,-0.0007333333333333333,1.5646321371176783e-6,8.879489356148569e-6,7.659022428395247e-9
-1.3810000000000002e-5,-0.0007,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0007,-0.0007,1.4935124945214201e-6,8.475876203596362e-6,6.978572088682446e-9
-1.3810000000000002e-5,-0.0006666666666666666,-1.3810000000000002e-5,-1.3810000000000002e-5,-0.0006666666666666666,-0.0006666666666666666,1.4223928519251621e-6,8.072263051044153e-6,6.329770601979543e-9
