x1_m,x2_m,Vc_V,C_F,Q1_N,Q2_N,Qtranslation_N
-1.3810000000000002e-5,-1.3810000000000002e-5,3.0,7.398172218229775e-12,-4.5408036943659547e-7,-1.3082895387559194e-5,-1.353697575699579e-5
-1.3808e-5,-1.3808e-5,3.0,7.39215578142175e-12,-4.525452914683833e-7,-1.3084389753359441e-5,-1.3536935044827824e-5
-1.3806000000000001e-5,-1.3806000000000001e-5,3.0,7.386139351720635e-12,-4.51010470501459e-7,-1.308592923095125e-5,-1.353693970145271e-5
-1.3804e-5,-1.3804e-5,3.0,7.380122926903188e-12,-4.4947577453516166e-7,-1.30874911582904e-5,-1.3536966932825562e-5
-1.3802000000000001e-5,-1.3802000000000001e-5,3.0,7.374106507717833e-12,-4.479408975176587e-7,-1.3089018995063687e-5,-1.3536959892581345e-5
-1.3800000000000002e-5,-1.3800000000000002e-5,3.0,7.36809009824175e-12,-4.464057711203256e-7,-1.3090498634352025e-5,-1.353690440547235e-5
-1.3798e-5,-1.3798e-5,3.0,7.362073700606602e-12,-4.448707190747849e-7,-1.3091991688902014e-5,-1.3536862407976799e-5
-1.3796000000000001e-5,-1.3796000000000001e-5,3.0,7.356057311765565e-12,-4.4333592406848884e-7,-1.309353461045085e-5,-1.3536870534519339e-5
-1.3794e-5,-1.3794e-5,3.0,7.35004093021803e-12,-4.4180105343730464e-7,-1.3095060806628923e-5,-1.3536861860066229e-5
-1.3792000000000001e-5,-1.3792000000000001e-5,3.0,7.344024560648846e-12,-4.4026596680310957e-7,-1.3096541010730286e-5,-1.3536806977533396e-5
-1.379e-5,-1.379e-5,3.0,7.338008204326711e-12,-4.3873103879927704e-7,-1.3098053831769831e-5,-1.3536784870569108e-5
-1.3788e-5,-1.3788e-5,3.0,7.331991857827915e-12,-4.371961857714502e-7,-1.3099580892018594e-5,-1.3536777077790043e-5
-1.3786000000000002e-5,-1.3786000000000002e-5,3.0,7.3259755246577e-12,-4.3566114422058595e-7,-1.31010641252158e-5,-1.3536725269436387e-5
-1.3784e-5,-1.3784e-5,3.0,7.319959206553218e-12,-4.3412623452857877e-7,-1.310257606307099e-5,-1.3536702297599569e-5
-1.3782000000000001e-5,-1.3782000000000001e-5,3.0,7.313942901299423e-12,-4.325913063866725e-7,-1.3104080758031564e-5,-1.3536672064418237e-5
-1.378e-5,-1.378e-5,3.0,7.307926613160893e-12,-4.3105631621299297e-7,-1.3105568604354524e-5,-1.3536624920567517e-5
-1.3778000000000001e-5,-1.3778000000000001e-5,3.0,7.301910340951655e-12,-4.2952142033577727e-7,-1.3107076793725365e-5,-1.3536598214061143e-5
-1.3776000000000002e-5,-1.3776000000000002e-5,3.0,7.295894087059617e-12,-4.2798643275634514e-7,-1.3108558633944483e-5,-1.3536545066700827e-5
-1.3774e-5,-1.3774e-5,3.0,7.289877852245006e-12,-4.264515265131721e-7,-1.3110058451314274e-5,-1.3536509977827446e-5
-1.3772000000000001e-5,-1.3772000000000001e-5,3.0,7.283861638210462e-12,-4.249165568124742e-7,-1.311153727339048e-5,-1.3536453830202953e-5
-1.377e-5,-1.377e-5,3.0,7.27784544616496e-12,-4.2338163941596934e-7,-1.3113026343758717e-5,-1.3536407983174687e-5
-1.3768000000000001e-5,-1.3768000000000001e-5,3.0,7.271829278363318e-12,-4.2184669164579586e-7,-1.3114502108849145e-5,-1.353634880049494e-5
-1.3766000000000002e-5,-1.3766000000000002e-5,3.0,7.26581313598546e-12,-4.203117598174062e-7,-1.3115976848436305e-5,-1.353628860825371e-5
-1.3764e-5,-1.3764e-5,3.0,7.25979702181183e-12,-4.187768376258089e-7,-1.3117448839236626e-5,-1.3536225676862435e-5
-1.3763966666666669e-5,-1.3763966666666669e-5,3.0,7.2596967534774515e-12,-4.187512557058387e-7,-1.3117473342424787e-5,-1.3536224598130627e-5
-1.3762000000000001e-5,-1.3762000000000001e-5,3.0,7.253780937786781e-12,-4.172419046472875e-7,-1.3118910333282734e-5,-1.3536152237930021e-5
-1.376e-5,-1.376e-5,3.0,7.247764886510831e-12,-4.1570698576500837e-7,-1.3120368525836305e-5,-1.3536075511601314e-5
-1.3758000000000001e-5,-1.3758000000000001e-5,3.0,7.241748871110877e-12,-4.141720748991735e-7,-1.3121820727193816e-5,-1.353599280209299e-5
-1.3756e-5,-1.3756e-5,3.0,7.235732894803311e-12,-4.12637165876334e-7,-1.3123263396748814e-5,-1.3535900562625147e-5
-1.3754e-5,-1.3754e-5,3.0,7.229716961272089e-12,-4.11102263537863e-7,-1.3124696710994415e-5,-1.3535798974532278e-5
-1.3752000000000001e-5,-1.3752000000000001e-5,3.0,7.223701074804639e-12,-4.095673711126342e-7,-1.312612025695363e-5,-1.3535687628066265e-5
-1.375e-5,-1.375e-5,3.0,7.2176852403042075e-12,-4.08032489178333e-7,-1.312753230447543e-5,-1.3535564793653764e-5
-1.3748000000000001e-5,-1.3748000000000001e-5,3.0,7.211669463403856e-12,-4.064976184833772e-7,-1.3128930722512217e-5,-1.3535428340995594e-5
-1.3746e-5,-1.3746e-5,3.0,7.205653750644007e-12,-4.0496276056154256e-7,-1.3130313169511877e-5,-1.3535275930073419e-5
-1.3744000000000001e-5,-1.3744000000000001e-5,3.0,7.199638109686455e-12,-4.034279174479447e-7,-1.313167686882656e-5,-1.3535104786274506e-5
-1.3742000000000002e-5,-1.3742000000000002e-5,3.0,7.193622549584132e-12,-4.0189309155394213e-7,-1.3133018366424124e-5,-1.3534911457978067e-5
-1.374e-5,-1.374e-5,3.0,7.187607081136922e-12,-4.003582857105848e-7,-1.3134333275265466e-5,-1.3534691560976051e-5
-1.3738000000000001e-5,-1.3738000000000001e-5,3.0,7.181591717371339e-12,-3.988235032421033e-7,-1.3135615912243113e-5,-1.3534439415485216e-5
-1.3736e-5,-1.3736e-5,3.0,7.17557647419965e-12,-3.9728874812222203e-7,-1.3136858800464908e-5,-1.3534147548587131e-5
-1.3734000000000001e-5,-1.3734000000000001e-5,3.0,7.169561371339774e-12,-3.9575402539846857e-7,-1.3138052070723305e-5,-1.3533806096121774e-5
-1.3732000000000002e-5,-1.3732000000000002e-5,3.0,7.163546433624315e-12,-3.94219341595043e-7,-1.3139182420421255e-5,-1.3533401762016297e-5
-1.373e-5,-1.373e-5,3.0,7.157531692937256e-12,-3.926847048267133e-7,-1.3140231085079611e-5,-1.3532915789906324e-5
-1.3728000000000001e-5,-1.3728000000000001e-5,3.0,7.1515171911673786e-12,-3.911501258062599e-7,-1.3141171124196785e-5,-1.3532321250003045e-5
-1.3726e-5,-1.3726e-5,3.0,7.145502984857709e-12,-3.89615619071701e-7,-1.314196240415351e-5,-1.353157802322521e-5
-1.3725600000000001e-5,-1.3725600000000001e-5,3.0,7.1443001854783636e-12,-3.8930872804285206e-7,-1.3142097848024703e-5,-1.3531406576067555e-5
-1.37252e-5,-1.37252e-5,3.0,7.143097401732332e-12,-3.890018408846187e-7,-1.3142224311296699e-5,-1.3531226152181317e-5
-1.3724800000000001e-5,-1.3724800000000001e-5,3.0,7.141894634449414e-12,-3.8869495780816007e-7,-1.3142341080304786e-5,-1.3531036038112947e-5
-1.37244e-5,-1.37244e-5,3.0,7.140691884525178e-12,-3.883880790413288e-7,-1.3142447357348081e-5,-1.353083543638941e-5
-1.3724000000000001e-5,-1.3724000000000001e-5,3.0,7.139489152930468e-12,-3.880812048375516e-7,-1.3142542269219864e-5,-1.3530623474057415e-5
-1.37236e-5,-1.37236e-5,3.0,7.138286440718015e-12,-3.877743354601024e-7,-1.3142624823639258e-5,-1.3530399159099361e-5
-1.3723200000000001e-5,-1.3723200000000001e-5,3.0,7.137083749033451e-12,-3.874674712106711e-7,-1.3142693934212178e-5,-1.353016140542285e-5
-1.37228e-5,-1.37228e-5,3.0,7.135881079125362e-12,-3.8716061240081147e-7,-1.3142748357747127e-5,-1.3529908970147939e-5
-1.3722400000000001e-5,-1.3722400000000001e-5,3.0,7.134678432358623e-12,-3.8685375938878566e-7,-1.314278672042739e-5,-1.3529640479816176e-5
-1.3722e-5,-1.3722e-5,3.0,7.133475810228937e-12,-3.865469125506051e-7,-1.3142807448393277e-5,-1.3529354360943882e-5
-1.3721600000000001e-5,-1.3721600000000001e-5,3.0,7.132273214379862e-12,-3.8624007231359314e-7,-1.314280877714325e-5,-1.3529048849456844e-5
-1.3721200000000002e-5,-1.3721200000000002e-5,3.0,7.131070646623245e-12,-3.8593323913811747e-7,-1.3142788685787238e-5,-1.3528721924925356e-5
-1.37208e-5,-1.37208e-5,3.0,7.129868108962164e-12,-3.8562641353986556e-7,-1.3142744873451768e-5,-1.3528371286991634e-5
-1.3720400000000002e-5,-1.3720400000000002e-5,3.0,7.128665603619332e-12,-3.853195960883098e-7,-1.3142674698758172e-5,-1.3527994294846482e-5
-1.372e-5,-1.372e-5,3.0,7.127463133069377e-12,-3.850127874167576e-7,-1.3142575113306364e-5,-1.3527587900723122e-5
-1.3719600000000002e-5,-1.3719600000000002e-5,3.0,7.126260700078595e-12,-3.847059882363709e-7,-1.3142442592867667e-5,-1.3527148581104037e-5
-1.37192e-5,-1.37192e-5,3.0,7.12505830775174e-12,-3.843991993408006e-7,-1.3142273023995235e-5,-1.3526672223336036e-5
-1.3718800000000002e-5,-1.3718800000000002e-5,3.0,7.1238559595890436e-12,-3.840924216293769e-7,-1.3142061596719322e-5,-1.3526154018348699e-5
-1.37184e-5,-1.37184e-5,3.0,7.12265365955548e-12,-3.837856561171921e-7,-1.3141802636274596e-5,-1.3525588292391787e-5
-1.3718000000000001e-5,-1.3718000000000001e-5,3.0,7.1214514121653934e-12,-3.8347890396206456e-7,-1.3141489413276156e-5,-1.352496831723822e-5
-1.3717933333333335e-5,-1.3717933333333335e-5,3.0,7.1212510430707286e-12,-3.834277799917243e-7,-1.3141431391316395e-5,-1.3524859171308119e-5
-1.37176e-5,-1.37176e-5,3.0,7.1202492225874385e-12,-3.8317216648920386e-7,-1.3141113888476663e-5,-1.3524286054965866e-5
-1.3717200000000001e-5,-1.3717200000000001e-5,3.0,7.119047096774864e-12,-3.8286544522408265e-7,-1.3140666380495933e-5,-1.3523531825720014e-5
-1.37168e-5,-1.37168e-5,3.0,7.1178450416295255e-12,-3.825587419367992e-7,-1.3140135141851443e-5,-1.3522693883788242e-5
-1.3716400000000001e-5,-1.3716400000000001e-5,3.0,7.116643065209996e-12,-3.8225205869257816e-7,-1.3139505782634185e-5,-1.3521757841326763e-5
-1.3716e-5,-1.3716e-5,3.0,7.115441176998261e-12,-3.8194539792239287e-7,-1.3138760512023784e-5,-1.3520705909946177e-5
-1.3715600000000001e-5,-1.3715600000000001e-5,3.0,7.114239388245826e-12,-3.8163876251063437e-7,-1.313787710367176e-5,-1.3519515866182395e-5
-1.37152e-5,-1.37152e-5,3.0,7.113037712427491e-12,-3.813321559112679e-7,-1.3136827475714572e-5,-1.351815963162584e-5
-1.3714800000000001e-5,-1.3714800000000001e-5,3.0,7.111836165844421e-12,-3.810255823033187e-7,-1.3135575723505232e-5,-1.351660130580855e-5
-1.37144e-5,-1.37144e-5,3.0,7.110634768435669e-12,-3.807190467978918e-7,-1.3134075344109749e-5,-1.3514794390907641e-5
-1.3714000000000001e-5,-1.3714000000000001e-5,3.0,7.109433544885077e-12,-3.8041255572250423e-7,-1.3132265288758372e-5,-1.3512677844480877e-5
-1.37138e-5,-1.37138e-5,3.0,7.1088330076827116e-12,-3.8025932924960917e-7,-1.313121972785939e-5,-1.3511479057109e-5
-1.37136e-5,-1.37136e-5,3.0,7.108232526151096e-12,-3.8010611701315863e-7,-1.3130064284522966e-5,-1.3510170401536124e-5
-1.3713400000000002e-5,-1.3713400000000002e-5,3.0,7.107632105490702e-12,-3.7995292034621213e-7,-1.3128784294914007e-5,-1.350873721526022e-5
-1.3713200000000001e-5,-1.3713200000000001e-5,3.0,7.107031751607151e-12,-3.797997407626738e-7,-1.3127362614912413e-5,-1.3507162355675087e-5
-1.3713e-5,-1.3713e-5,3.0,7.106431471231779e-12,-3.796465799880038e-7,-1.3125779142112596e-5,-1.35054257221006e-5
-1.37128e-5,-1.37128e-5,3.0,7.105831272065327e-12,-3.794934399961688e-7,-1.3124010249593114e-5,-1.3503503689589282e-5
-1.3712600000000001e-5,-1.3712600000000001e-5,3.0,7.105231162948989e-12,-3.793403230535719e-7,-1.3122028120133997e-5,-1.3501368443187569e-5
-1.3712400000000001e-5,-1.3712400000000001e-5,3.0,7.104631154067316e-12,-3.791872317709386e-7,-1.3119799978212357e-5,-1.3498987209983296e-5
-1.37122e-5,-1.37122e-5,3.0,7.104031257187385e-12,-3.790341691647122e-7,-1.311728723125273e-5,-1.3496321400417444e-5
-1.3712e-5,-1.3712e-5,3.0,7.103431485937582e-12,-3.78881138728642e-7,-1.3114444551225435e-5,-1.3493325689954077e-5
-1.3711800000000001e-5,-1.3711800000000001e-5,3.0,7.102831856127318e-12,-3.787281445157232e-7,-1.3111218968588762e-5,-1.3489947113104485e-5
-1.3711600000000001e-5,-1.3711600000000001e-5,3.0,7.102232386104362e-12,-3.785751912299302e-7,-1.3107549113102016e-5,-1.3486124304331947e-5
-1.37114e-5,-1.37114e-5,3.0,7.101633097138842e-12,-3.784222843248526e-7,-1.3103364819530064e-5,-1.3481787103854916e-5
-1.37112e-5,-1.37112e-5,3.0,7.101034013810774e-12,-3.7826943010310314e-7,-1.309858742479487e-5,-1.3476856854897973e-5
-1.3711000000000001e-5,-1.3711000000000001e-5,3.0,7.100435164361201e-12,-3.7811663580637523e-7,-1.3093131188293032e-5,-1.3471247824099407e-5
-1.3710800000000001e-5,-1.3710800000000001e-5,3.0,7.099836580946383e-12,-3.7796390968046537e-7,-1.308690630791202e-5,-1.3464870217592486e-5
-1.37106e-5,-1.37106e-5,3.0,7.09923829971537e-12,-3.778112609945458e-7,-1.3079823893629559e-5,-1.3457635154624105e-5
-1.37104e-5,-1.37104e-5,3.0,7.098640360622057e-12,-3.776586999919953e-7,-1.3071802890696992e-5,-1.3449461590688987e-5
-1.3710200000000001e-5,-1.3710200000000001e-5,3.0,7.0980428068971995e-12,-3.775062377539894e-7,-1.306277828236424e-5,-1.3440284520118228e-5
-1.3710000000000001e-5,-1.3710000000000001e-5,3.0,7.097445684153009e-12,-3.773538859694469e-7,-1.3052709118610218e-5,-1.3430063004579664e-5
-1.37098e-5,-1.37098e-5,3.0,7.0968490391709556e-12,-3.7720165662509347e-7,-1.3041584411403972e-5,-1.3418786068029066e-5
-1.3709600000000002e-5,-1.3709600000000002e-5,3.0,7.096252918508567e-12,-3.770495616503587e-7,-1.302942515969042e-5,-1.3406474721340778e-5
-1.3709400000000001e-5,-1.3709400000000001e-5,3.0,7.09565736711734e-12,-3.7689761256506803e-7,-1.3016281833798568e-5,-1.3393179446363636e-5
-1.37092e-5,-1.37092e-5,3.0,7.0950624271617e-12,-3.767458201774171e-7,-1.300222808275985e-5,-1.3378973902937267e-5
-1.3709e-5,-1.3709e-5,3.0,7.094468137169241e-12,-3.76594194365541e-7,-1.2987352458274065e-5,-1.3363946652639606e-5
-1.3708800000000002e-5,-1.3708800000000002e-5,3.0,7.093874531555795e-12,-3.764427439545963e-7,-1.2971750123770816e-5,-1.3348192867725412e-5
