x1_m,linear_N,cubic_N,soft_N,hard_N
-1.428e-5,4.683750750000001e-5,8.839862640000001e-7,1.6326800000166056e-6,0.0
-1.4232400000000001e-5,4.668138247500002e-5,8.751758348285683e-7,1.355124400029042e-6,0.0
-1.41848e-5,4.652525745000001e-5,8.66424141633344e-7,1.0775688000577456e-6,0.0
-1.41372e-5,4.636913242500001e-5,8.577309879729362e-7,8.000132001411092e-7,0.0
-1.40896e-5,4.621300740000001e-5,8.490961774059521e-7,5.224576005065761e-7,0.0
-1.4042e-5,4.605688237500001e-5,8.405195134910001e-7,2.44902004916198e-7,0.0
-1.3994400000000001e-5,4.590075735000001e-5,8.320007997866883e-7,2.0109430614204122e-12,0.0
-1.39468e-5,4.574463232500001e-5,8.23539839851624e-7,2.419550743372442e-15,0.0
-1.38992e-5,4.558850730000001e-5,8.151364372444162e-7,3.5579406632848443e-16,0.0
-1.38516e-5,4.5432382275000013e-5,8.067903955236721e-7,1.1150685584297931e-16,0.0
-1.3810000000000002e-5,4.5295936875000016e-5,7.995431928035718e-7,5.31312565710102e-17,0.0
-1.3808e-5,4.528937700000001e-5,7.991958673554287e-7,5.148816911157149e-17,0.0
-1.3806000000000001e-5,4.528281712500002e-5,7.988486425084289e-7,4.9912139021374435e-17,0.0
-1.3804e-5,4.5276257250000014e-5,7.985015182480002e-7,4.8399780007702343e-17,0.0
-1.3802000000000001e-5,4.5269697375000015e-5,7.981544945595717e-7,4.6947908924860096e-17,0.0
-1.3800000000000002e-5,4.5263137500000017e-5,7.978075714285718e-7,4.555353169705188e-17,0.0
-1.3798e-5,4.525657762500001e-5,7.974607488404289e-7,4.4213830345152304e-17,0.0
-1.3796000000000001e-5,4.525001775000002e-5,7.971140267805717e-7,4.292615102092117e-17,0.0
-1.3794e-5,4.5243457875000014e-5,7.967674052344286e-7,4.1687992961486406e-17,0.0
-1.3792000000000001e-5,4.5236898000000015e-5,7.964208841874288e-7,4.0496998285257466e-17,0.0
-1.379e-5,4.523033812500001e-5,7.960744636250001e-7,3.9350942557808236e-17,0.0
-1.3788e-5,4.522377825000001e-5,7.957281435325715e-7,3.824772606301065e-17,0.0
-1.3786000000000002e-5,4.521721837500002e-5,7.953819238955719e-7,3.7185365720628316e-17,0.0
-1.3784e-5,4.5210658500000014e-5,7.950358046994288e-7,3.61619875970268e-17,0.0
-1.3782000000000001e-5,4.5204098625000015e-5,7.946897859295717e-7,3.517581996047135e-17,0.0
-1.378e-5,4.519753875000001e-5,7.943438675714287e-7,3.422518683685663e-17,0.0
-1.3778000000000001e-5,4.519097887500001e-5,7.939980496104288e-7,3.3308502025682106e-17,0.0
-1.3776000000000002e-5,4.518441900000002e-5,7.936523320320004e-7,3.242426353959895e-17,0.0
-1.3774e-5,4.5177859125000014e-5,7.933067148215716e-7,3.157104843411368e-17,0.0
-1.3772000000000001e-5,4.5171299250000016e-5,7.929611979645716e-7,3.074750799691121e-17,0.0
-1.377e-5,4.516473937500001e-5,7.926157814464287e-7,2.9952363268894316e-17,0.0
-1.3768000000000001e-5,4.515817950000001e-5,7.922704652525717e-7,2.918440087144323e-17,0.0
-1.3766000000000002e-5,4.515161962500002e-5,7.919252493684289e-7,2.8442469116523764e-17,0.0
-1.3764e-5,4.5145059750000014e-5,7.915801337794287e-7,2.7725474378271327e-17,0.0
-1.3762000000000001e-5,4.5138499875000016e-5,7.912351184710002e-7,2.7032377706436593e-17,0.0
-1.376e-5,4.513194000000001e-5,7.908902034285715e-7,2.6362191663700095e-17,0.0
-1.3758000000000001e-5,4.512538012500002e-5,7.905453886375718e-7,2.57139773703576e-17,0.0
-1.3756400000000001e-5,4.5120132225000014e-5,7.902696089760082e-7,2.5210623970155855e-17,0.0
-1.3756e-5,4.511882025000001e-5,7.902006740834287e-7,2.508684174118762e-17,0.0
-1.3754e-5,4.5112260375000014e-5,7.898560597515715e-7,2.447993490057154e-17,0.0
-1.3752000000000001e-5,4.5105700500000016e-5,7.895115456274289e-7,2.3892447763017823e-17,0.0
-1.375e-5,4.509914062500001e-5,7.891671316964287e-7,2.332360976729012e-17,0.0
-1.3748000000000001e-5,4.509258075000002e-5,7.888228179440003e-7,2.2772686753250143e-17,0.0
-1.3746e-5,4.508602087500001e-5,7.884786043555715e-7,2.2238978971377525e-17,0.0
-1.3744000000000001e-5,4.5079461000000015e-5,7.881344909165716e-7,2.1721819215722947e-17,0.0
-1.3742000000000002e-5,4.5072901125000016e-5,7.877904776124289e-7,2.1220571071736403e-17,0.0
-1.374e-5,4.506634125000001e-5,7.874465644285716e-7,2.0734627271090837e-17,0.0
-1.3738000000000001e-5,4.505978137500002e-5,7.871027513504288e-7,2.026340814620216e-17,0.0
-1.3736e-5,4.505322150000001e-5,7.867590383634286e-7,1.9806360177696374e-17,0.0
